번호	교재코드	교재명	판매가
389	FB206	EBS 수능완성 과학탐구영역 생명과학 1	5900
390	FB207	EBS 3주특강 고등 과학탐구영역  생명 과학1	9000
391	FB208	고등 과학탐구영역 생명과학1	25000
392	FB301	씨뮬 수능기출 전국연합 3년간 모의고사-고3 생명과학 1(8TH)(2021수능대비)	11700
393	FB302	씨뮬 9th 수능기출 전국연합 3년간 모의고사 생명과학 1 고3(2021)	10800
394	FB303	입시플라이 수능기출 모의고사 3개년 문제집-고3 과학탐구영역 생명과학 I(2014 대비)	4800
395	FB304	리얼 오리지널 수능기출 50회 모의고사-고3 생명과학 1(2018수능시험대비)	9900
396	FB305	리얼 오리지널 수능기출 30회 모의고사 5개년-고3 생명과학 1(2020)	9000
397	FB306	한 번만 읽으면 확 잡히는 고등 생명과학	13000
398	FB307	Present 고등 생명과학 2 3	26000
399	FB308	Present 고등 생명과학 2 4	26000
400	FC101	EBSi 강의노트 기본개념 고1,2를 위한 양진석의 신의 한 수 화학 1	8500
401	FC102	EBS 강의노트 기본개념 과탐 - 이희나의 고1,2를 위한 똑소리 나는 화학1 (2016)	5800
402	FC103	EBS 개념완성 과학탐구영역 화학 1(2018 고1적용)	14400
403	FC104	학생을 위한 화학과 화학자 이야기(역사로 배우는 기초 화학)	14000
404	FC105	화학전공자를 위한 주기율표 이해하기	14000
405	FC106	EBS 수능특강 고등 과학탐구영역 화학2	6600
406	FC107	OWL N제 PRO 고등 화학1	25000
407	FC108	한 번만 읽으면 확 잡해는 고등 화학	13000
408	FC201	연도별 7개년 수능모의고사-고2 화학 I(2012대비)	8000
409	FC202	리얼리티 전국연합 4개년 모의고사 고2 화학 1(2019)	7200
410	FC203	리얼리티 전국연합 5개년 모의고사 고2 화학1(2020)	9000
411	FC204	메가스터디 고2 화학1 600제(2016)	14000
412	FC205	메가스터디 N제-고2 과학탐구영역 화학1 600제(2017)	12600
413	FC206	Chemis tree 고등 화학1 N제	15500
414	FC207	고등 과학탐구영역 화학1 시즌.1 모의평가	25000
415	FC208	고등 화학2 Frame 기출문제집	40000
416	FC301	올필 3개년 모의고사 화학 I-고3 화학 I(2012 수능 대비 최신 개정판)	8000
417	FC302	리얼리티 전국연합 5개년 모의고사 고3 화학 1(2020)	9000
418	FC303	지피지기 백전백승 모의고사기출모음집 고3 화학 2(2014 수능대비최신판)	8000
419	FC304	리얼리티 전국연합 4개년 모의고사 고3 화학 1(2019)	7200
420	FC305	골드 스터디 월별모의고사족보-고3 화학 I(2014 대비)	7000
421	FC306	Clab 모의평가 DUO 2회분 고등 과학탐구영역 화학1	9000
422	FC307	적중선택 최종점검 Final 봉투모의고사 고등 화학1	9000
423	FC308	EBS 수능완성 과학탐구영역 화학1	5300
424	GA101	대입직업탐구공업입문	12000
425	GA102	대입직업탐구정보기술기초	11000
426	GA103	8051마스터	28500
427	GA104	AVR ATmega128 마스터	38000
428	GA105	컴퓨터그래픽스운용기능사필기	14000
429	GA106	EBS 수능완성 고등 직업탐구영역 공업 일반	5000
430	GA107	EBSi 강의교재 수능완성 기초제도 공업 2	4000
431	GA108	EBSi 강의교재 수능완성 기초제도 공업 1	4000
432	GA201	C언어 Game 프로그래밍	11700
433	GA202	C프로그래밍 오답노트-애프터스킬	13500
434	GA203	EBS 2018학년도 수능특강 공업일반	5000
435	GA204	EBS 2019학년도 수능특강 공업일반	5000
436	GA205	EBS 2021학년도 수능특강 직업탐구영역 공업 일반	5000
437	GA206	EBSi 강의노트 수능완성 직업탐구영역 공업 일반	5000
438	GA207	EBSi 강의교재 수능특강 직업탐구영역 공업입문	5000
439	GA208	EBSi 강의교재 수능특강 직업탐구영역 공업 입문 공업1	5500
440	GA301	EBS 2023학년도 수능특강 직업탐구영역 공업 일반	5300
441	GA302	리얼리티 전국연합 4개년 모의고사 고3 공업일반(2019)	8000
442	GA303	리얼리티 전국연합 5개년 모의고사 고3 공업일반(2020)	9000
443	GA304	기초완성 공업수학	20000
444	GA305	일반기계 공학-기계자동차계열 공무원 및 국가기술자격 대비(제3판)	24000
445	GA306	EBSi 강의교재 수능완성 직업탐구 공업입문 강의노트	2400
446	GA307	직탐 공업입문	10000
447	GA308	직탐 공업입문서	8000
448	GB101	객관식 상업등기법 및 비송사건절차법(2022)	32300
449	GB102	상업등기법 및 비송사건절차법-법무사시험 대비.실무참고자료(2021)	35150
450	GB103	상업등기법및비송사건절차법-조문.예규.선례정리(2022)	22800
451	GB104	고등학교 상업경제 교과서 (천재교과서-서동관)	16600
452	GB105	상업정보교과교재 및 연구법	17000
453	GB106	EBSi 강의교재 수능완성 상업 경제 상업정보1	4000
454	GB107	EBS 수능특강 직업탐구영역 상업경제 상업정보1	5000
455	GB108	EBS 수능특강 직업탐구영역 상업경제 상업정보2	5000
456	GB201	고등학교 상업경제 교과서 (씨마스-조경희)	16600
457	GB202	상업정보교과교육론	20000
458	GB203	상업경제(고등학교 교과서대용)(2016)	12600
459	GB204	고등학교 상업경제 교과서 천재(2013)	14000
460	GB205	세무일반(2015)	11000
461	GB206	EBSi 수능특강 직업탐구영역 상업경제	5200
462	GB207	직탐 상업경제	10000
463	GB208	EBSi 강의교재 수능특강 직업탐구영역 상업경제	5500
464	GB301	EBS 2021학년도 수능특강 직업탐구영역 상업 경제	5000
465	GB302	EBS 2023학년도 수능특강 직업탐구영역 상업 경제	5300
466	GB303	기업자원통합관리(2015 개정)	11000
467	GB304	금융일반(2015 개정)	11000
468	GB305	상업경제(2015 개정)	11000
469	GB306	상업경제	7000
470	GB307	EBS 수능 CHOICEE 상업경제	6200
471	GB308	EBSi 강의노트 수능완성 직업탐구영역 상업경제	4000
472	GC101	유기농업(2015개정 교육과정)_재인정	18000
473	GC102	농촌과 농지개발	8500
474	GC103	고등학교 농업 토목 기술1	8000
475	GC104	고등학교 농업 토목 기술2	9000
476	GC105	고등학교 농업기초기술 교과서 성림	17000
477	GC106	과원 토양관리(농업기술길잡이)	29000
478	GC107	낙농(농업기술길잡이)	38000
479	GC108	유기농업기능사 실기 필답형	20000
480	GC201	고등학교 농업 정보 관리	9000
481	GC202	고등학교 농업 생명 과학	6500
482	GC203	고등학교 농업 이해	9800
483	GC204	고등학교 농업 토목 제도 설계	7800
484	GC205	고등학교 농업 CEO 창업 실무 이론+실습 시제품 개발	8000
485	GC206	유기농업기능사 실기 작업형	19000
486	GC207	유기농업 실무	19000
487	GC208	리얼리티 농업 기초 기술 모의고사	8000
488	GC301	EBS 2020학년도 수능특강 농업이해	5000
489	GC302	EBS 2020학년도 수능완성 농업 이해	4500
490	GC303	EBS 2021학년도 수능특강 직업탐구영역 농업이해	5000
491	GC304	EBS 2023학년도 수능특강 직업탐구영역 농업 기초 기술	5000
492	GC305	EBS 수능특강 고등 직업탐구영역 농업 기초 기술(2021)(2022 수능대비)	5000
493	GC306	농업기술길잡이 고추	28000
494	GC307	배(농업기술길잡이)	36000
495	GC308	고품질 수박(농업기술길잡이)	23000
496	HA101	고등학교 중국어 1 교과서 (정진출판사-이종민)	15500
497	HA102	고등학교 중국어 1 시사중국	15000
498	HA103	고등학교 중국어 1 교과서 (넥서스-김명화)	15500
499	HA104	고등학교 중국어 1 교과서 (동양북스-박용호)	15500
500	HA105	고등학교 중국어 1 교과서 (미래엔-최병권)	16000
501	HA106	고등 중국어 1 자습서	14400
502	HA107	고등학교 중국어1 자습서	14000
503	HA108	HSK 중국어 단어	9500
504	HA201	고등학교 중국어 2 교과서 (천재교과서-신승희)	16600
505	HA202	고등학교 중국어 2 시사중국	16600
506	HA203	고등학교 중국어 2 교과서 (정진출판사-이종민)	15500
507	HA204	고등학교 중국어 2 교과서 (김성철 다락원)	7000
508	HA205	고등학교 중국어 2 교과서 (미래엔-최병권)	15300
509	HA206	탄탄한 중국어 3	15000
510	HA207	Happy Chinese 중국어 교실2	9800
511	HA208	고등 중국어1	16000
512	HA301	EBS 수능특강 고등 제2외국어&한문영역 중국어1(2021)(2022 수능대비)	5200
513	HA302	EBS 수능특강 중국어1: 제2외국어한문영역(2022)(2023 수능 대비)	5500
514	HA303	EBSi 강의교재 수능완성 제2외국어&한문영역 중국어 1 (2020년)	4500
515	HA304	EBSi 강의교재 수능완성 제2외국어&한문영역 중국어 I (2021년)	4500
516	HA305	EBS 수능특강 강의노트 제2외국어&한문영역 중국어 1 (2020년)	5200
517	HA306	EBS 수능특강 고등 제2외국어 중국어1	5200
518	HA307	생활중국어회화	12000
519	HA308	고등학교 중국어1	16000
520	HB101	고등학교 일본어 1 교과서 (다락원-윤강구)	16500
521	HB102	고등학교 일본어 1 자습서 (2022년용)	12600
522	HB103	2021년형 고등학교 일본어 1 교과서 (미래엔 오현정)	15000
523	HB104	고등학교 일본어 1 교과서 (에듀서울-안병곤)	16600
524	HB105	고등학교 일본어 1 교과서 (천재교과서-배홍철)	16600
525	HB106	알짜배기 일본어 쓰기박사	7000
526	HB107	기본 일본어 교육사전	19800
527	HB108	키라키라 일본어 STEP 3	10000
528	HB201	고등학교 일본어 2 교과서 (미래엔-오현정)	15500
529	HB202	고등학교 일본어 2 시사일본	15000
530	HB203	고등학교 일본어 2 교과서 (천재교과서-배홍철)	16600
531	HB204	고등학교 교과서 일본어회화2 	12400
532	HB205	고등학교 일본어 2 교과서 다락원	12500
533	HB206	EBS FM Radio 중급 일본어 회화	5500
534	HB207	일본어작문 플러스	8500
535	HB208	신입생을 위한 일본어 문법	13500
536	HB301	EBS 수능특강 고등 제2외국어&한문영역 일본어1(2020)	5200
537	HB302	EBS 강의교재 수능완성 제2외국어&한문영역 일본어1(2020)	5000
538	HB303	EBS 수능특강 고등 제2외국어&한문영역 일본어1(2021)	5200
539	HB304	EBS 수능특강 고등 제2외국어&한문영역 일본어1(2022)	5500
540	HB305	EBSi 강의교재 수능완성 제2외국어&한문영역 일본어 1(2019)	5000
541	HB306	수능 일본어	8500
542	HB307	RESTART 일본어 원서읽기	9800
543	HB308	EBSi 강의교재 수능완성 일본어1	5000
544	HC101	고등학교 교과서 프랑스어회화1	11400
545	HC102	고등학교 교과서 프랑스어 1	12500
546	HC103	고등학교 교과서 프랑스어2	11300
547	HC104	고등학교 프랑스어 독해와 작문1	7000
548	HC105	고등학교 교과서 전공기초 프랑스어	11100
549	HC106	FLEX UP 프랑스어	27000
550	HC107	기초 프랑스어 1	16000
551	HC108	내게는 특별한 프랑스어 어휘를 부탁해	16500
552	HC201	고등학교 교과서 프랑스어2 (박영사)	7800
553	HC202	LE FRANCAIS 2 (고등학교 자습서)	9900
554	HC203	왕초보 프랑스어 연습문제집	24000
555	HC204	고등학교 교과서 프랑스어회화2	13000
556	HC205	ESCARGOT 에스카르고 기초 프랑스어 입문 교재	16200
557	HC206	EBSi 강의교재 제2외국어 수능특강 프랑스어	5000
558	HC207	주미에르의 10시간 프랑스어 첫걸음	17000
559	HC208	버전업 스마트 프랑스어 기초	12600
560	HC301	EBS 수능특강 제2외국어한문영역 프랑스어 1 (2021년)	5000
561	HC302	EBS 수능특강 제2외국어한문영역 프랑스어 1 (2020년)	5000
562	HC303	EBSi 강의교재 수능완성 제2외국어&한문영역 프랑스어 I (2021년)	5000
563	HC304	EBSi 강의교재 제2외국어한문영역 프랑스어 1 (2020년)	5000
564	HC305	EBS 수능특강 제2외국어한문영역 프랑스어 1 (2022년)	5000
565	HC306	EBS 수능완성 고등 제2외국어 프랑스어 1	4500
566	HC307	EBSi 강의노트 수능완성 제2외국어 프랑스어 1	4500
567	HC308	프랑스어1 자습서	11000
