m_no,m_title,m_synopsis,g_no,m_time,m_open,m_director
78,맘마미아!,엄마는 하나! 아빠는 셋?\n완벽한 결혼식을 위해 그리스에서 펼쳐지는 환상의 축제!\n\n그리스의 작은 섬에서 엄마 도나(메릴 스트립)와 살고 있는 소피(아만다 시프리드)는 행복한 결혼을 앞둔 신부.\n그러나 완벽한 결혼을 꿈꾸는 그녀의 계획에 흠이 있다면 결혼식에 입장할 손을 잡고 아빠가 없다는 것!\n\n우연히 엄마의 일기장을 발견한 소피는 아빠로 추정되는 세 남자의 이름을 찾게 되고 엄마의 이름으로 그들을 초대한다.\n결혼식 전날 소피가 초대한 세 남자(샘해리빌)가 그리스 섬에 도착하면서 도나는 당황하게 되는데...\n과연 소피의 아빠는 누구일까? 그리고 이들의 결혼식은 무사히 끝날 수 있을까?,6.17,108,2,필리다 로이드
79,박물관이 살아있다!,야간 경비원 근무 첫날 밤 박물관이 살아 움직이기 시작했다?!\n\n엉뚱한 사업 아이템으로 하는 일 마다 늘 실패만 하는 래리 델리(벤 스틸러 분). 그를 더 이상 견뎌내지 못한 부인이 곁을 떠나자 래리는 하나 밖에 없는 아들에게만큼은 떳떳한 아버지가 되기 위해 직장을 찾아 나선다. 별 볼일 없는 그에게 온 유일한 기회는 모든 사람들이 기피하는 자연사 박물관 야간 경비원. “아무것도 내보내지 말라”는 선배 경비원의 기이한 충고를 들은 근무 첫 날 밤 래리는 박물관의 전시물들이 살아 움직이는 놀라운 광경을 목격한다.\n\n밤마다 살아나는 박물관! 과연 여기에는 무슨 비밀이 있는 것일까??\n\n박물관 전시품들은 매일 밤 제멋대로 움직이며 래리를 괴롭힌다. 마야인들 로마의 글래디에이터들 카우보이들이 살아나 그들끼리의 전쟁을 벌이기 시작하고 네안데르탈인은 자신의 디스플레이 케이스를 불태우고 가장 포악한 공룡 티라노사우루스는 래리를 못 잡아 먹어 안달이다. 이런 대혼란 속에서 래리가 상담할 상대는 왁스 모형인 루즈벨트 대통령(로빈 윌리엄스 분)뿐. 아들을 위해 어떤 역경 속에서도 박물관을 무사히 보호해야만 하는 래리는 첫 날 선배들에게 들었던 충고가 잊혀지지 않는다.\n\n과연 이 박물관에는 무슨 비밀이 있는 것일까?,5.12,108,1,숀 레비
80,반딧불이의 묘,1945년 태평양 전쟁의 가해자에서 패전국이 된 일본의 시대적 상황을 배경으로 평범한 남매 세이타와 세츠코에게 닥친 비극을 담담하게 그린 작품. 일본의 저명한 문학상 나오키 상을 받은 동명 소설을 원작으로 전쟁의 잔혹함과 동시에 패전국으로서의 일본의 피폐한 모습을 보여준다. 전쟁을 경험했던 다카하타 이사오 감독의 체험적 관점이 그의 사실주의적 연출과 조화를 이뤄 만들어낸 걸작으로 소년의 나레이션을 중심으로 한 다큐멘터리적 기법을 사용했다.,2.3.15,91,1,다카하타 이사오
81,반지의 제왕: 두 개의 탑,2002년 12월 운명을 건 최후의 전쟁이 시작된다!\n9명의 반지원정대는 사우론의 사악한 세력에 맞서 반지를 지켜냈지만 반지 원정대는 뿔뿔이 흩어지게 된다. 호빗족으로 절대반지에 유일한 내성을 보이는 '프로도'는 일행과 떨어져 '샘'과 함께 불의 산으로 모험을 감행하지만 새로운 위협을 맞이하고 사루만의 우르쿠하이 군대에게 잡혀간 '메리'와 '피핀'은 엔트 족의 영역에서 '트리비어드'라는 엔트 족에게 구출 받게 된다. 한편 '메리'와 '피핀'을 구하기 위해 우루쿠하이 군대를 추격하던 '아라곤'과 '레골라스' '김리'는 유령 숲에서 백색의 마법사로 부활한 마법사 '간달프'를 만나게 되고 악의 군주 '사우론'이 암흑세계의 두 개의 탑 '오르상크'와 '바랏두르'를 통합하여 점점 그 세력을 넓혀가고 있다는 사실을 듣게 된다. 이에 '아라곤'과 나머지 원정대는 중간계의 선한 무리의 통합을 이뤄 '사우론'의 강력한 세력을 견제해야하는 큰 임무를 맡게 된다. 하지만 동맹관계가 깨져 '곤도르' 왕국과 '로한'왕국으로 나뉜 인간 종족의 통합은 쉽지 않고 게다가 '로한'의 왕마저 '사루만'에게 동화되는데.. 결국 '사우론'은 서서히 중간계를 거대한 전쟁의 소용돌이로 몰고 가고 '아라곤' 또한 인간과 엘프 난쟁이족 그리고 엔트족 등을 통합하여 이에 맞설 준비를 한다. 결코 피할 수 없는 거대한 전쟁이 시작된 것이다.,1.11.12,235,2,피터 잭슨
82,반지의 제왕: 반지 원정대,마지막 반지를 차지하는 자 모든 힘을 지배하게 될 것이다!\n시간과 공간을 알 수 없는 까마득한 옛날... 전지전능한 능력을 보유한 위대한 신들은 엘프족과 난쟁이족 그리고 인간 종족을 자신들의 첫번째 세계 속에 창조하여 평화로운 삶을 살게 하였다. 많은 세월이 지나고 오랜 동안 악의 힘에 동화된 신 사우론은 절대 악의 힘을 빌어 다른 신들에 대항하며 그들이 창조해 놓은 모든 세계를 자신의 것으로 만들 계략을 세우게 된다. 그러나 사우론의 계약을 알게 된 나머지 신들은 타락한 사우론을 신의 세계에서 추방하였고 모든 세력과 힘을 잃게 된 사우론은 인간들의 세상에 나타나 어리석은 인간들을 유혹해 위대한 신들에게 도전하게 만든다. 신적인 힘을 거의 잃은 사우론은 인간 세계에 존재하는 전설적인 마법 반지들의 소문을 듣게 되고 그 11개의 반지들을 지배하기 위해 자신의 남은 모든 힘을 실은 12번째 ‘절대 반지’를 만들어 신들을 위협한다. 하지만 사우론은 그 절대반지를 잃어버리게 되고 사우론과 인간들의 어러리석은 행동에 분노한 위대한 신들은 인간 세계에 엄청난 재앙을 내렸다. 결국 인간들의 왕은 죽음을 맞이하게 되었고 그와 마찬가지로 암흑의 제왕 사우론도 역사 속으로 사라지며 다시는 모습을 나타내지 못했다. 그로부터 오랜 세월이 또다시 흐른다.\n악의 군주 사우론과 신들의 전쟁이 아주 먼 옛날 이야기가 되었을 때... 첫번째 세계 다음에 찾아온 중간 세계에서도 미약하나마 절대반지의 힘은 여전히 존재하게 된다. 그러던 어느날 호빗이라 불리우는 난쟁이 종족의 빌보는 여행 중에 우연히 낡은 금반지 하나를 얻게 된다. 그 반지가 소유하고 있는 사람의 모습을 가려주고 또한 어두운 곳에서도 환하게 볼 수 있는 힘을 주는 마법의 반지임을 알게 된 빌보는 그 반지를 가지고 자신들의 마을에서 유용한 도구로 사용한다. 그 신기하고 재미있는 반지가 암흑의 제왕 사우론이 만들었던 절대 반지임을 전혀 알지 못한 채. 한편 오랜동안 암흑의 세계에 숨어지내며 자신의 힘을 조금씩 키워나가던 사우론은 머더의 검은 탑에서 세계의 사방으로 자신의 권능을 넓혀나가며 중간 세계에 살고 있는 인간과 엘프 호빗족들을 억압해 나간다. 또한 신들과의 전쟁에서 잃어버린 11개의 반지를 끌어모으는데 성공한 사우론은 그 11개의 반지를 지배하며 세상을 지배할 수 있게 해줄 절대반지를 찾을 날만을 기다리게 된다.,3,227,2,피터 잭슨
83,반지의 제왕: 왕의 귀환,21세기 가장 위대한 걸작 사상 최대의 마지막 전쟁이 시작됐다!\n절대반지의 영원한 파괴를 위해 ‘프로도’와 그의 친구들 엘프족 ‘레골라스’ 난쟁이족 ‘김리’ 두 명의 인간전사 ‘아라곤’과 ‘보로미르’ 그리고 마법사 ‘간달프’...등 9명으로 이뤄진 ‘반지원정대’가 ‘불의 산’을 향하게 되고 그들은 ‘사우론’의 사악한 세력에 맞서려 한다. 그러나 이들은 다시 뿔뿔이 흩어지게 되고 암흑세계의 두 개의 탑을 통합하여 그 세력을 확장하고 있는 ‘사우론’은 서서히 중간대륙을 거대한 전쟁의 소용돌이로 몰아가며 ‘로한왕국’을 향해 진격을 시작한다. 이에 ‘아라곤’은 자유종족들을 통합하여 ‘사우론’에게 정면 대항하게 되는데..... ‘사우론’의 군대는 인간 종족을 멸망시키기 위해 마지막으로 곤도르 왕국의 수도인 ‘미나스 티리스’를 공격한다. 과거의 위대함은 사라진 채 그 명맥만을 유지해오던 곤도르 왕국은 이제 그 어느 때보다도 왕이 절실하다. 하지만 ‘아라곤’이 왕위를 계승하여 자신의 운명을 마주 할 수 있을 것인가? 전투에 앞서 ‘간달프’는 필사적으로 흩어진 곤도르의 병력을 수습하고 ‘세오덴’은 로한의 전사들을 규합한다. 용기와 충성심에 불타 있기는 하지만 인간의 군대는 곤도르로 빽빽이 몰려드는 적들에게 적수가 되지 못한다. 승리의 순간에도 희생이 따르고 많은 이들을 잃어가면서도 원정대는 ‘사우론’의 주의를 딴 곳으로 돌려 ‘프로도’가 임무를 달성할 수 있게 돕는다는 하나의 목표 아래 그들 생애 가장 큰 전투를 치러 나간다. 한편 ‘프로도’는 위험한 적의 땅을 가로질러 가면서 반지가 끊임없이 그의 의지와 인간성을 시험하자 점점 더 ‘샘’과 ‘골룸’에게 의지하게 되는데.,11.12,262,2,피터 잭슨
84,배트맨 비긴즈,부모님의 살해사건을 겪은 브루스 웨인(크리스찬 베일)이 악당들에게 복수하기 위해 히말라야로 떠났다가 산속에 은닉하고 있던 그림자 동맹에게 무술을 배운 뒤 영웅 ‘배트맨’이 되어 강력한 파워로 악한 힘을 물리치는 이야기,1.4.11,134,2,크리스토퍼 놀란
85,베놈,영웅인가 악당인가\n진실을 위해서라면 몸을 사리지 않는 정의로운 열혈 기자 '에디 브록'\n거대 기업 라이프 파운데이션의 뒤를 쫓던 그는\n이들의 사무실에 잠입했다가 실험실에서\n외계 생물체 '심비오트'의 기습 공격을 받게 된다.\n\n'심비오트'와 공생하게 된 '에디 브록'은\n마침내 한층 강력한 '베놈'으로 거듭나고\n악한 존재만을 상대하려는 '에디 브록'의 의지와 달리\n'베놈'은 난폭한 힘을 주체하지 못하는데…!\n\n지배할 것인가 지배당할 것인가\n10월 마블 역사상 가장 강렬한 빌런 히어로의 등장을 확인하라!,1.7.9,107,3,루벤 플레셔
86,베놈 2: 렛 데어 비 카니지,히어로의 시대는 끝났다\n‘베놈’과 완벽한 파트너가 된 ‘에디 브록’(톰 하디) 앞에 ‘클리터스 캐서디’(우디 해럴슨)가 ‘카니지’로 등장\n앞으로 닥칠 대혼돈의 세상을 예고한다.\n대혼돈의 시대가 시작되고\n악을 악으로 처단할 것인가?,1.7.9,97,3,앤디 서키스
87,베테랑,한 번 꽂힌 것은 무조건 끝을 보는 행동파 ‘서도철’(황정민)\n20년 경력의 승부사 ‘오팀장’(오달수) 위장 전문 홍일점 ‘미스봉’(장윤주) 육체파 ‘왕형사’(오대환) 막내 ‘윤형사’(김시후)까지\n겁 없고 못 잡는 것 없고 봐주는 것 없는 특수 강력사건 담당 광역수사대.\n\n오랫동안 쫓던 대형 범죄를 해결한 후 숨을 돌리려는 찰나\n서도철은 재벌 3세 ‘조태오’(유아인)를 만나게 된다.\n세상 무서울 것 없는 안하무인의 조태오와 언제나 그의 곁을 지키는 오른팔 ‘최상무’(유해진).\n서도철은 의문의 사건을 쫓던 중 그들이 사건의 배후에 있음을 직감한다.\n\n건들면 다친다는 충고에도 불구하고 포기하지 않는 서도철의 집념에\n판은 걷잡을 수 없이 커져가고\n조태오는 이를 비웃기라도 하듯 유유히 포위망을 빠져 나가는데…\n\n베테랑 광역수사대 VS 유아독존 재벌 3세\n2015년 여름 자존심을 건 한판 대결이 시작된다!,1.3,123,3,류승완
88,변호인,돈 없고 빽 없고 가방끈도 짧은 세무 변호사 ‘송변’\n그의 인생을 송두리째 바꿀 다섯 번의 공판이 시작된다!\n1980년대 초 부산. 빽도 없고 돈도 없고 가방끈도 짧은 세무 변호사 송우석(송강호).\n부동산 등기부터 세금 자문까지 남들이 뭐라든 탁월한 사업수완으로 승승장구하며\n부산에서 제일 잘나가고 돈 잘 버는 변호사로 이름을 날린다.\n10대 건설 기업의 스카우트 제의까지 받으며 전국구 변호사 데뷔를 코 앞에 둔 송변.\n하지만 우연히 7년 전 밥값 신세를 지며 정을 쌓은 국밥집 아들 진우(임시완)가\n뜻하지 않은 사건에 휘말려 재판을 앞두고 있다는 소식을 듣는다.\n국밥집 아줌마 순애(김영애)의 간절한 부탁을 외면할 수 없어 구치소 면회만이라도 도와주겠다고 나선 송변.\n하지만 그곳에서 마주한 진우의 믿지 못할 모습에 충격을 받은 송변은\n모두가 회피하기 바빴던 사건의 변호를 맡기로 결심하는데...\n“제가 하께요 변호인. 하겠습니더”,3,126,3,양우석
89,보스 베이비,시크한 눈빛 쫙 빠진 수트핏\n귀여운 얼굴 뒤 숨겨진 반전포스\n세상에 없던 베이비가 온다!\n\n어느 날 굴러들어온 아기 동생에게 엄빠의 사랑을 모두 빼앗겨 버린 ‘팀’\n평소엔 앙증맞은 베이비 알고 보니 ‘베이비 주식회사’의 카리스마 보스\n‘보스 베이비’는 비밀 임무를 수행하기 위해 파견근무 중!\n\n팀은 엄빠의 사랑을 되찾기 위해\n보스 베이비는 라이벌 ‘퍼피 주식회사’를 무찌르기 위해\n원치 않는 공조를 시작한다\n\n7살 빅 브라더 vs 7개월 베이비 브라더\n그들의 살벌한 팀플이 시작된다!,2.5.13,97,1,톰 맥그라스
90,보스 베이비 2,가족 같은 회사로 모십니다\n\n베이비 주식회사의 레전드 보스 베이비에서 인생 만렙 CEO가 된 ‘테드’.\n베이비인 줄 알았던 조카 ‘티나’가 알고 보니 베이비 주식회사 소속 임원으로 밝혀진다.\n뉴 보스 베이비 ‘티나’의 지시로 다시 베이비로 돌아간 ‘테드’와 형 ‘팀’에게 주어진 시간은 48시간!\n\n세상을 구하기 위한 미션을 무사히 완수할 수 있을 것인가?,2.5.12,107,1,톰 맥그라스
91,보헤미안 랩소디,“나는 스타가 되지 않을 것이다 전설이 될 것이다”\n\n공항에서 수하물 노동자로 일하며 음악의 꿈을 키우던 이민자 출신의 아웃사이더 ‘파록버사라’\n보컬을 구하던 로컬 밴드에 들어가게 되면서 ‘프레디 머큐리’라는 이름으로 밴드 ‘퀸’을 이끌게 된다.\n\n시대를 앞서가는 독창적인 음악과 화려한 퍼포먼스로 관중들을 사로잡으며 성장하던 ‘퀸’은\n라디오와 방송에서 외면을 받을 것이라는 음반사의 반대에도 불구하고\n무려 6분 동안 이어지는 실험적인 곡 ‘보헤미안 랩소디’로 대성공을 거두며 월드스타 반열에 오른다.\n\n그러나 독보적인 존재감을 뿜어내던 ‘프레디 머큐리’는 솔로 데뷔라는 유혹에 흔들리게 되고\n결국 오랜 시간 함께 해왔던 멤버들과 결별을 선언하게 되는데…\n\n세상에서 소외된 아웃사이더에서 전설의 록밴드 ‘퀸’ 되기까지\n우리가 몰랐던 그들의 진짜 이야기가 시작된다!,3,134,2,브라이언 싱어
92,부산행,전대미문의 재난이 대한민국을 덮친다!\n\n정체불명의 바이러스가 전국으로 확산되고 대한민국 긴급재난경보령이 선포된 가운데\n열차에 몸을 실은 사람들은 단 하나의 안전한 도시 부산까지\n살아가기 위한 치열한 사투를 벌이게 되는데..\n\n서울에서 부산까지의 거리 442km\n지키고 싶은 지켜야만 하는 사람들의 극한의 사투!\n살고 싶다면 부산행 열차에 탑승하라!,1.7,118,3,연상호
93,북북서로 진로를 돌려라,뉴욕의 광고업자 로저 O. 손힐(캐리 그랜트)은 어느 날 정부 요원 조지 캐플란으로 오인 받고 두 명의 괴한에게 납치된다. 그는 어느 저택에서 술을 강제로 마신 뒤 버려져 음주운전으로 체포된다. 다음날 홀어머니와 함께 현장으로 가보지만 그곳의 내부는 전날 밤과 전혀 다른 모습이었다. 손힐은 그 저택 주인이 UN 외교관이란 이야기를 듣고 UN 본부 로비에서 그에게 면회를 신청하나 엉뚱한 사람이 나왔다가 현장에서 등에 칼을 맞고 쓰러진다. 손힐은 삽시간에 살인범 누명까지 뒤집어쓰게 되고 경찰과 적 스파이들로부터 추격을 당한다. 그래서 그는 자신의 결백을 입증해 줄 수 있는 단 하나의 인물인 캐플란을 찾으러 시카고행 열차에 몸을 싣고 그 곳에서 우연히 만난 금발의 미녀 이브 켄들(에바 마리 세인트)과 사랑을 속삭이는데.\n\n[스포일러] 손힐은 켄들의 도움으로 캐플런을 만나기 위해 41번 국도 변으로 나가지만 생각지도 않던 헬리콥터의 습격을 받는다. 켄들에게 속은 것이다. 그 후 손힐은 미술품 경매장에서 납치범의 두목격인 밴덤과 함께 나타난 켄들이 조각품을 산 뒤 사라지자 일부러 소동을 부려 경찰에게 끌려가 위기를 모면한다. 그리고 사우스다코타주 라피트 시티의 커다란 대통령 얼굴석상이 있는 러시모어 산 아래 카페에서 다시 밴덤과 나타난 켄들을 만나게 되고 켄들은 권총 두 발로 손힐을 쓰러뜨리고 사라진다. 한 대학교수가 손힐을 구출해 차에 싣고 숲으로 오나 켄들이 쏜 총은 공포탄이었다.\n\n대학교수는 자신이 CIA 고문이며 켄들은 밴덤의 정부라고 말한다. 밴덤은 경매장에서 구입한 조각품 속에 국가기밀의 마이크로필름을 넣어 그 날 밤 함께 비행기로 탈출한다. 그러나 켄들도 CIA의 요원이며 조지 캐플런은 CIA가 만들어낸 가공의 인물이었다. 켄들은 손힐의 기지로 조각품을 빼앗아 도망쳐 대통령 얼굴 석상 밑으로 내려오다 CIA 요원들의 구조로 살아난다. 뉴욕으로 돌아오는 열차에서 손힐과 켄들은 그들의 사랑을 다시 한번 확인 한다.,6.10.12,136,2,알프레드 히치콕
94,분노의 질주: 더 익스트림,최강의 리더 최악의 적이 되다!\n\n마침내 평화로운 일상으로 돌아온 리더 ‘도미닉’(빈 디젤)과 멤버들.\n그러던 어느 날 멤버들은 도미닉이 첨단 테러 조직의 리더 ‘사이퍼’(샤를리즈 테론)와 함께 사상 최악의 테러를 계획하고 있음을 알게 된다.\n리더의 배신으로 위기에 놓인 멤버들은 한때 팀을 모두 전멸시키려 했던 ‘데카드 쇼’(제이슨 스타뎀)까지 영입해\n최악의 적이 되어버린 도미닉과의 피할 수 없는 대결을 앞두게 되는데…,1.4.7,136,3,F. 게리 그레이
95,뷰티풀 마인드,40년대 최고의 엘리트들이 모이는 프린스턴 대학원. 시험도 보지 않고 장학생으로 입학한 웨스트버지니아 출신의 한 천재가 캠퍼스를 술렁이게 만든다. 너무도 내성적이라 무뚝뚝해 보이고 오만이라 할 정도로 자기 확신에 차 있는 수학과 새내기 존 내쉬. 누구도 따라올 수 없는 뛰어난 두뇌와 수려한 용모를 지녔지만 괴짜 천재인 그는 기숙사 유리창을 노트 삼아 단 하나의 문제에 매달린다. 바로 자신만의 '오리지날 아이디어'를 찾아내는 것. 어느 날 짖궂은 친구들과 함께 들른 술집에서 금발 미녀를 둘러싸고 벌이는 친구들의 경쟁을 지켜보던 존 내쉬는 섬광같은 직관으로 '균형이론'의 단서를 발견한다. 1949년 27쪽 짜리 논문을 발표한 20살의 청년 존 내쉬는 하루 아침에 학계의 스타로 제2의 아인슈타인으로 떠오른다.\n\n이후 MIT 교수로 승승장구하던 그는 정부 비밀요원 윌리암 파처를 만나 냉전시대 최고의 엘리트들이 그러하듯 소련의 암호 해독 프로젝트에 비밀리에 투입된다. 하지만 정작 그를 당황케 한 것은 몇 만개의 암호가 아닌 사랑이란 인생의 난제였다. 자신의 수업을 듣던 물리학도 알리샤와 사랑에 빠진 그는 난생처음 굳게 닫혔던 마음의 문을 열고 둘은 행복한 결혼에 골인한다. 알리샤와의 결혼 후에도 존은 윌리암과의 프로젝트를 비밀리에 수행한다. 하지만 점점 소련 스파이가 자신을 미행한다는 생각에 사로잡히는 존. 목숨의 위협에도 불구하고 아내에게 끝까지 자신의 일을 비밀로 하지만 자신의 영혼의 빛이 점점 꺼져가고 있음을 깨닫지 못하는데.,3,134,2,론 하워드
96,브레이브 하트,13세기 말엽 스코틀랜드와 잉글랜드 왕가는 서로 대립하고 있었다. 스코틀랜드 왕이 후계자가 없이 죽자 잉글랜드는 왕권을 요구하며 스코틀랜드에 포악한 정치의 그림자를 드리우기 시작한다. 윌리엄 월레스는 폭정을 피하여 고향에서 멀리 떨어진 곳에서 성장한다. 그가 장성하여 고향에 돌아왔을 때 월레스는 조국 스코틀랜드가 여전히 잉글랜드의 전제 군주 롱 생크의 폭정에 시달리고 있음을 알게 된다. 이때 월레스는 그의 운명적인 사랑 머론을 만나게 되고 그녀와 결혼하나 잉글랜드 폭정으로 머론은 잔인하게 처형된다. 그러는 과정에서 월레스는 스코틀랜드 사람들을 모아 용맹과 투지로 무장한 저항군을 이끄는 지도자가 된다.,1.3.14.15,152,3,멜 깁슨
97,브이 포 벤데타,1988년 출간된 앨런 무어의 동명 DC 코믹스 만화를 원작으로 제3차 세계대전 후 완벽하게 통제된 미래사회 전설적인 테러리스트 ‘V’와 ‘이비’라는 여성이 정부에 맞서는 SF 액션. 나탈리 포트만이 주인공 ‘이비’역을 맡아 삭발을 감행하며 화제를 모았다. 의 스미스 요원 휴고 위빙이 가면을 쓴 채 고도의 전투력을 발휘하는 의문의 `V`를 맡았고 신예 제임스 맥티그가 메가폰을 잡았다. 할리우드 마이다스의 손 조엘 실버와 워쇼스키 형제가 제작을 맡았다.,1,132,3,제임스 맥티그
98,블랙 팬서,‘시빌 워’ 이후 와칸다의 왕위를 계승한 티찰라(채드윅 보스만)는\n와칸다에만 존재하는 최강 희귀 금속 ‘비브라늄’과\n왕좌를 노리는 숙적들의 음모가 전세계적인 위협으로 번지자\n세상을 구할 히어로 ‘블랙 팬서’로서 피할 수 없는 전쟁에 나서는데…\n\n2월 마블의 가장 혁신적인 히어로가 온다!,1.3.9,134,2,라이언 쿠글러
99,블랙위도우,“모든 것을 바꾼 그녀의 선택”\n어벤져스의 운명을 바꾼 블랙 위도우 그녀의 진짜 이야기가 시작된다!\n\n어벤져스의 히어로 블랙 위도우 ‘나타샤 로마노프’ (스칼렛 요한슨)는\n자신의 과거와 연결된 레드룸의 거대한 음모와 실체를 깨닫게 된다.\n\n상대의 능력을 복제하는 빌런 ‘태스크마스터’와 새로운 위도우들의 위협에 맞서\n목숨을 건 반격을 시작하는 ‘나타샤’는 스파이로 활약했던 자신의 과거 뿐 아니라\n어벤져스가 되기 전 함께했던 동료들을 마주해야만 하는데…\n\n폭발하는 리얼 액션 카타르시스!\n7월 MCU의 새로운 시대를 시작할 첫 액션 블록버스터를 만끽하라!,1.9.12,133,2,케이트 쇼트랜드
100,비포 선셋,오랜만이야 사랑!\n\n비엔나에서의 꿈같은 하루 6개월 후의 어긋난 약속…\n그리고 9년이 지난 오늘 파리에서 다시 마주한 제시와 셀린느.\n서로 같지만 다른 기억을 간직해 온 두 사람 사이에 묘한 기류가 감돈다.\n“그날 당신이 내 모든 것을 가져가 버린 것 같아”\n그렇게 그 간의 진심을 서로에게 털어놓는 사이\n해는 저물고 또다시 헤어짐의 순간이 다가오는데…\n\n처음보다 짙은 그들의 두 번째 사랑\n우리는 반드시 지금을 기억하게 될 거야.,3,80,3,리차드 링클레이터
101,사랑은 비를 타고,아마츄어 쇼 코미디언인 돈 록우드(Don Lockwood: 진 켈리 분)와 코스모(Cosmo Brown: 도날드 오코너 분)는 공연을 하며 이곳저곳을 떠돌아다니다 뜻대로 되지않자 새 일자리를 얻기위해 헐리우드로 온다. 그런데 우연찮게 돈 록우드는 마뉴멘탈 영화사의 스턴트맨역을 따내게 되고 당시 최고의 인기를 누리고 있던 여배우인 리나 레이먼트(Lina Lamont: 쟌 하겐 분)와 함께 다수의 영화에 출연함으로써 단연 스타로 급부상하게 된다.\n\n그러나 화려한 영광도 잠시 헐리웃 영화계가 무성영화에서 유성영화 체제로 전환됨으로써 목소리 연기가 너무나 형편없는 리나 레이먼트 때문에 영화를 완전히 망치게 된다. 그 때문에 돈 록우드와 그의 영화는 완전히 인기를 잃게 된다. 그러던 중 록우드는 파티장에서 우연히 만난 캐시(Kathy Selden: 데비 레이놀즈 분)라는 여자에게 사랑을 느끼게 되고 연극 배우를 꿈꾸는 아름답고 재능있는 캐시에게서 결정적인 도움을 받게 된다. 그 도움이란 영화를 새롭게 각색한 뮤지컬 ‘노래하는 기사’를 살리고자 리나의 입을 빌려 캐시의 목소리를 내보내기로 한 것이다.\n\n아무것도 모르던 리나는 나중에 사실을 알고 분을 참지 못하고 캐시를 영화계에서 완전히 생매장시켜 버리려 한다. 하지만 리나는 자기의 비열한 속임수에 자기가 말려들어 많은 관중들 앞에서 모욕을 당하게 되고 캐시와 돈 록우드는 서로에 대한 사랑을 다시 한번 확인하게 된다.,17,103,1,진 켈리
102,산딸기,"""50년 동안 의사 생활을 해온 이삭 보리 교수는 명예학위를 받기로 한 날 자신의 죽음을 예고하는 꿈을 꾼다. 불길한 느낌이 든 보리 교수는 예정되어 있던 비행기 여행을 취소하고 자동차를 타고 학위수여식에 가기로 하고 며느리 마리안이 긴 여정에 동행하겠다고 나선다. 여행 도중 에 유년 시절을 보낸 여름 별장에 들르게 되면서 그가 과거에 사랑했던 여자와 이름이 같은 사라를 만나게 되고 사라와 두 청년이 여행에 합류한다. 작은 자동차 사고가 나면서 자신의 과거를 떠올리게 하는 부부를 만나기도 하고 꿈과 환상과 현실이 계속해서 교차되면서 보리 교수는 자신의 과거의 진실을 마주하는 동시에 현재 자신의 진정한 모습을 돌아보게 된다.""",3,90,2,잉마르 베리만
103,살인의 추억,선 보러 집 나갔던 처녀 배수관서 알몸시체로... 사건 잇다르자 날 저물면 부녀자들 외출 꺼려 1986년 경기도. 젊은 여인이 무참히 강간 살해 당한 시체로 발견된다. 2개월 후 비슷한 수법의 강간살인사건이 연이어 발생하면서 사건은 세간의 주목을 받기 시작하고 일대는 연쇄살인이라는 생소한 범죄의 공포에 휩싸인다. 특별수사본부 서울 시경 형사 투입… 수사는 아직도 제자리 걸음 사건발생지역에 특별수사본부가 설치되고 수사본부는 구희봉 반장 (변희봉 역)을 필두로 지역토박이 형사 박두만 (송강호 역)과 조용구 (김뢰하 역) 그리고 서울 시경에서 자원해 온 서태윤 (김상경 역)이 배치된다. 육감으로 대표되는 박두만은 동네 양아치들을 족치며 자백을 강요하고 서태윤은 사건 서류를 꼼꼼히 검토하며 사건의 실마리를 찾아 가지만 스타일이 다른 두 사람은 처음부터 팽팽한 신경전을 벌인다. 용의자가 검거되고 사건의 끝이 보일 듯 하더니 매스컴이 몰려든 현장 검증에서 용의자가 범행 사실을 부인하면서 현장은 아수라장이 되고 구반장은 파면 당한다. 연쇄살인범은 누구인가… 치밀한 뒷처리 흔적 전무 수사진이 아연실색할 정도로 범인은 자신의 흔적을 남기지 않는다. 살해하거나 결박할 때도 모두 피해자가 착용했거나 사용하는 물품을 이용한다. 심지어 강간살인의 경우 대부분 피살자의 몸에 떨어져 있기 마련인 범인의 음모조차 단 하나도 발견 되지 않는다. 후임으로 신동철 반장 (송재호 역)이 부임하면서 수사는 활기를 띠기 시작한다. 박두만은 현장에 털 한 오라기 남기지 않는다는 점에 착안 근처의 절과 목욕탕을 뒤지며 무모증인 사람을 찾아 나서고 사건 파일을 검토하던 서태윤은 비오는 날 빨간 옷을 입은 여자가 범행대상이라는 공통점을 밝혀낸다. 어둡고 긴 미스터리… 미궁 속 10번째 부녀자 연쇄피살 공포 언제까지 선제공격에 나선 형사들은 비 오는 밤 여경에게 빨간 옷을 입히고 함정수사를 벌인다. 그러나 다음날 아침 돌아오는 것은 음부에 우산이 꽂힌 또다른 여인의 사체. 사건은 해결의 실마리를 다시 감추고 냄비처럼 들끓는 언론은 일선 형사들의 무능을 지적하면서 형사들을 더욱 강박증에 몰아 넣는다.,7,127,3,봉준호
