sc_no	t_no	m_no	p_no	sc_theater	sc_date	sc_time
4788	125	1	1	2관	2022-08-31	20:05
4789	125	1	1	2관	2022-08-31	22:40
4790	125	1	1	3관	2022-08-31	15:50
4791	125	1	1	3관	2022-08-31	18:25
4792	125	10	1	3관	2022-08-31	21:00
4793	126	22	1	1관	2022-08-31	16:35
4794	126	22	1	1관	2022-08-31	18:50
4795	126	22	1	1관	2022-08-31	21:05
4796	126	22	1	2관	2022-08-31	16:00
4797	126	22	1	2관	2022-08-31	18:15
4798	126	22	1	2관	2022-08-31	20:31
4799	126	22	1	2관	2022-08-31	22:45
4800	126	22	1	3관	2022-08-31	15:31
4801	126	22	1	3관	2022-08-31	17:45
4802	126	22	1	3관	2022-08-31	20:00
4803	126	22	1	3관	2022-08-31	22:15
4804	126	22	1	4관	2022-08-31	14:50
4805	126	22	1	4관	2022-08-31	17:05
4806	126	22	1	4관	2022-08-31	19:20
4807	126	22	1	4관	2022-08-31	21:35
4808	126	1	1	5관	2022-08-31	17:10
4809	126	1	1	5관	2022-08-31	22:10
4810	126	1	1	6관	2022-08-31	15:31
4811	126	1	1	6관	2022-08-31	18:05
4812	126	1	1	6관	2022-08-31	20:40
4813	126	4	1	5관	2022-08-31	15:00
4814	126	10	1	5관	2022-08-31	19:50
4815	145	22	1	1관	2022-08-31	15:31
4816	145	22	1	1관	2022-08-31	17:40
4817	145	22	1	1관	2022-08-31	19:50
4819	145	22	1	2관	2022-08-31	15:00
4820	145	22	1	2관	2022-08-31	17:10
4821	145	22	1	2관	2022-08-31	19:20
4822	145	22	1	2관	2022-08-31	21:31
4823	145	22	1	2관	2022-08-31	23:40
4824	145	22	1	3관	2022-08-31	15:50
4825	145	22	1	3관	2022-08-31	18:00
4826	145	22	1	3관	2022-08-31	20:10
4827	145	22	1	3관	2022-08-31	22:20
4828	145	22	1	4관	2022-08-31	16:31
4829	145	22	1	4관	2022-08-31	18:40
4831	145	22	1	4관	2022-08-31	20:50
4832	145	22	1	5관	2022-08-31	16:10
4833	145	22	1	5관	2022-08-31	18:20
4834	145	22	1	5관	2022-08-31	20:31
4835	145	22	1	5관	2022-08-31	22:40
4836	145	22	1	6관	2022-08-31	14:40
4837	145	22	1	6관	2022-08-31	16:50
4838	145	22	1	6관	2022-08-31	19:00
4839	145	22	1	6관	2022-08-31	21:10
4840	145	22	1	6관	2022-08-31	23:20
4841	145	1	1	7관	2022-08-31	16:45
4842	145	1	1	7관	2022-08-31	19:20
4843	145	1	1	7관	2022-08-31	21:55
4844	145	1	1	8관	2022-08-31	15:55
4845	145	1	1	8관	2022-08-31	18:31
4846	145	8	1	8관	2022-08-31	21:05
4847	145	1	1	8관	2022-08-31	23:40
4848	145	22	1	1관	2022-08-31	22:00
4849	145	1	1	9관	2022-08-31	17:40
4850	145	1	1	9관	2022-08-31	20:15
4851	145	1	1	9관	2022-08-31	22:50
4852	157	22	1	2관	2022-08-31	15:20
4853	157	22	1	2관	2022-08-31	17:31
4854	157	22	1	2관	2022-08-31	19:40
4855	157	22	1	2관	2022-08-31	22:00
4856	157	22	1	1관	2022-08-31	16:31
4857	157	22	1	1관	2022-08-31	18:40
4858	157	22	1	1관	2022-08-31	20:50
4859	157	22	1	4관	2022-08-31	14:50
4860	157	22	1	4관	2022-08-31	17:00
4861	157	22	1	4관	2022-08-31	19:10
4862	157	22	1	4관	2022-08-31	21:20
4863	157	22	1	7관	2022-08-31	16:00
4864	157	22	1	7관	2022-08-31	18:10
4865	157	22	1	7관	2022-08-31	20:20
4866	157	22	1	7관	2022-08-31	22:31
4867	157	1	1	3관	2022-08-31	16:00
4868	157	1	1	3관	2022-08-31	18:40
4869	157	1	1	3관	2022-08-31	21:20
4870	157	1	1	5관	2022-08-31	15:31
4871	157	1	1	5관	2022-08-31	18:00
4872	157	1	1	5관	2022-08-31	20:31
4873	157	1	1	6관	2022-08-31	14:40
4874	157	1	1	6관	2022-08-31	17:10
4875	157	1	1	6관	2022-08-31	19:40
4876	157	1	1	6관	2022-08-31	22:10
4877	194	22	1	자동차	2022-08-31	20:10
4878	16	22	1	1관	2022-08-31	15:40
4879	16	22	1	1관	2022-08-31	18:00
4880	16	22	1	1관	2022-08-31	20:20
4881	16	22	1	2관	2022-08-31	21:40
4882	16	22	1	3관	2022-08-31	16:00
4883	16	22	1	3관	2022-08-31	18:20
4884	16	22	1	3관	2022-08-31	20:40
4885	16	22	1	3관	2022-08-31	23:00
4886	16	22	1	5관	2022-08-31	16:20
4887	16	22	1	5관	2022-08-31	18:40
4888	16	22	1	6관	2022-08-31	16:45
4889	16	22	1	6관	2022-08-31	19:00
4890	16	22	1	6관	2022-08-31	21:15
4891	16	22	1	6관	2022-08-31	23:31
4892	16	22	1	7관	2022-08-31	15:10
4893	16	22	1	7관	2022-08-31	17:25
4894	16	22	1	7관	2022-08-31	19:40
4895	16	22	1	7관	2022-08-31	22:00
4896	16	22	1	8관	2022-08-31	14:50
4897	16	22	1	8관	2022-08-31	22:31
4898	16	1	5	8관	2022-08-31	17:10
4899	16	1	5	8관	2022-08-31	19:50
4900	16	1	1	2관	2022-08-31	16:20
4901	16	1	1	2관	2022-08-31	19:00
4902	16	1	1	4관	2022-08-31	15:20
4903	16	1	1	4관	2022-08-31	18:00
4904	16	1	1	4관	2022-08-31	20:40
4905	16	1	1	4관	2022-08-31	23:20
4906	16	1	1	5관	2022-08-31	21:31
4907	16	10	1	1관	2022-08-31	22:40
4908	127	22	1	2관	2022-08-31	16:20
4909	127	22	1	2관	2022-08-31	18:40
4910	127	22	1	2관	2022-08-31	21:00
4911	127	22	1	3관	2022-08-31	16:00
4912	127	22	1	3관	2022-08-31	18:20
4913	127	22	1	3관	2022-08-31	20:40
4914	127	22	1	3관	2022-08-31	23:00
4915	127	22	1	6관	2022-08-31	15:20
4916	127	22	1	6관	2022-08-31	17:40
4917	127	22	1	6관	2022-08-31	20:00
4918	127	22	1	6관	2022-08-31	22:20
4919	127	22	1	7관	2022-08-31	15:00
4920	127	22	1	7관	2022-08-31	17:20
4921	127	22	1	7관	2022-08-31	19:40
4922	127	22	1	7관	2022-08-31	22:00
4923	127	22	1	8관	2022-08-31	14:40
4924	127	22	1	8관	2022-08-31	17:00
4925	127	22	1	8관	2022-08-31	19:20
4926	127	22	1	8관	2022-08-31	21:40
4927	127	22	1	10관	2022-08-31	15:40
4928	127	22	1	10관	2022-08-31	18:00
4929	127	22	1	10관	2022-08-31	20:20
4931	127	27	1	10관	2022-08-31	22:40
4932	127	1	5	4관	2022-08-31	19:50
4933	127	1	1	1관	2022-08-31	16:00
4934	127	1	1	1관	2022-08-31	18:40
4935	127	1	1	1관	2022-08-31	21:20
4936	127	1	1	5관	2022-08-31	16:45
4937	127	1	1	5관	2022-08-31	19:25
4938	127	1	1	5관	2022-08-31	22:05
4939	127	1	1	9관	2022-08-31	15:31
4940	127	1	1	9관	2022-08-31	18:10
4941	127	1	1	9관	2022-08-31	20:50
4942	127	2	1	4관	2022-08-31	15:00
4943	128	22	1	1관	2022-08-31	16:31
4944	128	22	1	1관	2022-08-31	19:31
4945	129	22	1	1관	2022-08-31	16:40
4946	129	22	1	2관	2022-08-31	16:20
4947	129	22	1	2관	2022-08-31	18:50
4948	129	1	1	1관	2022-08-31	19:10
4949	158	22	1	3관	2022-08-31	15:20
4950	158	22	1	3관	2022-08-31	17:40
4951	158	22	1	3관	2022-08-31	20:00
4952	158	22	1	3관	2022-08-31	22:20
4953	158	22	2	IMAX	2022-08-31	16:20
4954	158	22	2	IMAX	2022-08-31	18:40
4955	158	22	2	IMAX	2022-08-31	21:00
4956	158	22	2	IMAX	2022-08-31	23:20
4957	158	22	1	4관	2022-08-31	15:40
4958	158	22	1	4관	2022-08-31	20:20
4959	158	22	1	4관	2022-08-31	22:40
4960	158	22	1	7관	2022-08-31	16:00
4961	158	22	1	7관	2022-08-31	18:20
4962	158	22	1	7관	2022-08-31	20:40
4963	158	22	1	7관	2022-08-31	23:00
4964	158	22	1	10관	2022-08-31	16:40
4965	158	22	1	10관	2022-08-31	19:00
4966	158	22	1	10관	2022-08-31	21:20
4967	158	22	1	11관	2022-08-31	17:00
4968	158	22	1	11관	2022-08-31	19:20
4969	158	22	1	12관	2022-08-31	17:20
4970	158	22	1	12관	2022-08-31	19:40
4971	158	22	1	12관	2022-08-31	22:00
4972	158	25	1	8관	2022-08-31	17:00
4973	158	1	5	5관	2022-08-31	17:31
4974	158	1	5	5관	2022-08-31	20:15
4975	158	1	1	2관	2022-08-31	16:00
4976	158	1	1	2관	2022-08-31	18:40
4977	158	1	1	2관	2022-08-31	21:20
4978	158	1	1	3관	2022-08-31	15:20
4979	158	1	1	3관	2022-08-31	18:00
4980	158	1	1	3관	2022-08-31	20:40
4981	158	1	1	3관	2022-08-31	23:20
4982	158	1	1	6관	2022-08-31	17:00
4983	158	1	1	6관	2022-08-31	19:40
4984	158	1	1	6관	2022-08-31	22:20
4985	158	1	1	11관	2022-08-31	21:40
4986	158	26	1	4관	2022-08-31	18:00
4987	158	2	1	5관	2022-08-31	23:00
4988	158	14	1	8관	2022-08-31	19:20
4989	158	18	1	5관	2022-08-31	15:40
4990	36	22	1	1관	2022-08-31	15:20
4991	36	22	1	1관	2022-08-31	17:31
4992	36	22	1	1관	2022-08-31	19:40
4993	36	22	1	3관	2022-08-31	16:31
4994	36	22	1	3관	2022-08-31	18:40
4995	36	22	1	3관	2022-08-31	20:50
4996	36	22	1	4관	2022-08-31	16:00
4997	36	22	1	4관	2022-08-31	18:10
4998	36	22	1	4관	2022-08-31	20:20
4999	36	22	1	5관	2022-08-31	17:00
5000	36	22	1	5관	2022-08-31	19:10
5001	36	22	1	5관	2022-08-31	21:20
5002	36	1	1	2관	2022-08-31	15:45
5003	36	1	1	2관	2022-08-31	18:15
5004	36	1	1	2관	2022-08-31	20:45
5005	46	22	1	1관	2022-08-31	15:31
5006	46	22	1	1관	2022-08-31	17:40
5007	46	22	1	1관	2022-08-31	19:50
5008	46	22	1	1관	2022-08-31	22:00
5009	46	22	1	2관	2022-08-31	16:20
5010	46	22	1	2관	2022-08-31	18:31
5011	46	22	1	2관	2022-08-31	20:40
5012	46	22	1	3관	2022-08-31	15:55
5013	46	22	1	3관	2022-08-31	18:05
5014	46	22	1	3관	2022-08-31	20:15
5015	46	22	1	3관	2022-08-31	22:25
5016	46	22	1	4관	2022-08-31	16:45
5017	46	22	1	4관	2022-08-31	18:55
5018	46	22	1	4관	2022-08-31	21:05
5019	46	22	1	5관	2022-08-31	17:10
5020	46	22	1	5관	2022-08-31	19:20
5021	46	22	1	5관	2022-08-31	21:31
5022	46	1	1	6관	2022-08-31	16:55
5023	46	1	1	6관	2022-08-31	19:25
5024	46	1	1	6관	2022-08-31	21:55
5025	46	1	1	7관	2022-08-31	15:50
5026	46	1	1	7관	2022-08-31	18:20
5027	46	1	1	7관	2022-08-31	20:50
5028	47	22	2	IMAX	2022-08-31	17:05
5029	47	22	2	IMAX	2022-08-31	19:20
5031	47	22	2	IMAX	2022-08-31	21:35
5032	47	22	1	2관	2022-08-31	16:35
5033	47	22	1	2관	2022-08-31	18:50
5034	47	22	1	2관	2022-08-31	21:05
5035	47	22	1	3관	2022-08-31	15:35
5036	47	22	1	3관	2022-08-31	17:50
5037	47	22	1	3관	2022-08-31	20:05
5038	47	22	1	3관	2022-08-31	22:20
5039	47	22	1	4관	2022-08-31	16:05
5040	47	22	1	4관	2022-08-31	23:31
5041	47	22	1	8관	2022-08-31	15:15
5042	47	22	1	8관	2022-08-31	17:31
5043	47	22	1	8관	2022-08-31	19:45
5044	47	22	1	8관	2022-08-31	22:00
5045	47	22	1	9관	2022-08-31	22:50
5046	47	25	1	7관	2022-08-31	19:10
5047	47	1	5	4관	2022-08-31	18:20
5048	47	1	5	4관	2022-08-31	20:55
5049	47	1	3	4DX	2022-08-31	16:15
5050	47	1	3	4DX	2022-08-31	19:10
5051	47	1	3	4DX	2022-08-31	21:45
5052	47	1	1	2관	2022-08-31	23:31
5053	47	1	1	9관	2022-08-31	15:10
5054	47	1	1	9관	2022-08-31	17:45
5055	47	1	1	9관	2022-08-31	20:20
5056	47	26	1	6관	2022-08-31	18:40
5057	47	4	1	6관	2022-08-31	16:35
5058	47	6	1	7관	2022-08-31	17:00
5059	47	6	1	7관	2022-08-31	23:35
5060	47	3	1	6관	2022-08-31	23:20
5061	47	10	1	6관	2022-08-31	21:00
5062	47	29	1	6관	2022-08-31	21:31
5063	48	22	1	2관	2022-08-31	16:10
5064	48	22	1	2관	2022-08-31	18:20
5065	48	22	1	2관	2022-08-31	20:40
5066	48	22	1	2관	2022-08-31	23:00
5067	48	22	1	3관	2022-08-31	16:50
5068	48	22	1	3관	2022-08-31	19:00
5069	48	22	1	3관	2022-08-31	21:20
5070	48	22	1	4관	2022-08-31	17:40
5071	48	22	1	4관	2022-08-31	19:50
5072	48	22	1	4관	2022-08-31	22:00
5073	48	22	1	5관	2022-08-31	22:31
5074	48	22	1	1관	2022-08-31	15:40
5075	48	22	1	1관	2022-08-31	18:31
5076	48	22	1	1관	2022-08-31	21:10
5077	48	22	1	5관	2022-08-31	17:10
5078	48	22	1	5관	2022-08-31	20:00
5079	49	22	1	1관	2022-08-31	15:50
5080	49	22	1	1관	2022-08-31	18:05
5081	49	22	1	1관	2022-08-31	20:20
5082	49	22	1	1관	2022-08-31	22:35
5083	49	22	1	2관	2022-08-31	17:45
5084	49	22	1	2관	2022-08-31	20:00
5085	49	22	1	2관	2022-08-31	22:15
5086	49	22	1	3관	2022-08-31	16:15
5087	49	22	1	3관	2022-08-31	18:31
5088	49	22	1	3관	2022-08-31	20:45
5089	49	22	1	3관	2022-08-31	23:00
5090	49	22	1	5관	2022-08-31	17:15
5091	49	22	1	5관	2022-08-31	19:31
5092	49	22	1	5관	2022-08-31	21:45
5093	49	22	1	6관	2022-08-31	16:45
5094	49	22	1	6관	2022-08-31	19:00
5095	49	22	1	6관	2022-08-31	21:15
5096	49	1	1	4관	2022-08-31	16:45
5097	49	1	1	4관	2022-08-31	19:20
5098	49	1	1	4관	2022-08-31	21:55
5099	49	1	1	7관	2022-08-31	20:20
5100	49	4	1	7관	2022-08-31	15:55
5101	49	10	1	7관	2022-08-31	18:00
5102	49	10	1	7관	2022-08-31	22:55
5103	50	22	1	1관	2022-08-31	17:40
5104	50	22	1	2관	2022-08-31	17:15
5105	50	22	1	2관	2022-08-31	19:31
5106	50	22	1	2관	2022-08-31	21:45
5107	50	22	1	3관	2022-08-31	16:45
5108	50	22	1	3관	2022-08-31	19:00
5109	50	22	1	3관	2022-08-31	21:15
5110	50	22	1	5관	2022-08-31	15:45
5111	50	22	1	5관	2022-08-31	18:00
5112	50	22	1	5관	2022-08-31	20:15
5113	50	22	1	5관	2022-08-31	22:31
5114	50	22	1	6관	2022-08-31	16:15
5115	50	1	5	1관	2022-08-31	20:00
5116	50	1	5	1관	2022-08-31	22:35
5117	50	1	1	4관	2022-08-31	16:45
5118	50	1	1	4관	2022-08-31	19:20
5119	50	1	1	4관	2022-08-31	21:55
5120	50	1	1	6관	2022-08-31	18:31
5121	50	1	1	6관	2022-08-31	21:05
5122	51	22	1	1관	2022-08-31	15:35
5123	51	22	1	1관	2022-08-31	17:45
5124	51	22	1	1관	2022-08-31	20:00
5125	51	22	1	1관	2022-08-31	22:15
5126	51	22	1	4관	2022-08-31	15:55
5127	51	22	1	4관	2022-08-31	18:10
5128	51	22	1	4관	2022-08-31	20:25
5129	51	22	1	4관	2022-08-31	22:40
5131	51	22	1	5관	2022-08-31	16:25
5132	51	22	1	5관	2022-08-31	20:55
5133	51	22	1	5관	2022-08-31	23:10
5134	51	22	1	6관	2022-08-31	16:55
5135	51	22	1	6관	2022-08-31	19:10
5136	51	22	1	6관	2022-08-31	21:25
5137	51	22	1	6관	2022-08-31	23:40
5138	51	22	1	7관	2022-08-31	19:40
5139	51	22	1	7관	2022-08-31	21:55
5140	51	22	1	7관	2022-08-31	24:10
5141	51	1	3	4DX	2022-08-31	15:40
5142	51	1	3	4DX	2022-08-31	18:15
5143	51	1	3	4DX	2022-08-31	20:50
5144	51	1	3	4DX	2022-08-31	23:25
5145	51	1	1	2관	2022-08-31	16:45
5146	51	1	1	2관	2022-08-31	19:20
5147	51	1	1	2관	2022-08-31	21:55
5148	51	5	1	7관	2022-08-31	17:25
5149	93	22	1	1관	2022-08-31	18:00
5150	93	22	1	1관	2022-08-31	20:15
5151	93	22	1	3관	2022-08-31	17:31
5152	93	22	1	3관	2022-08-31	19:45
5153	93	22	1	4관	2022-08-31	16:15
5154	93	22	1	4관	2022-08-31	18:31
5155	93	22	1	4관	2022-08-31	20:50
5156	93	22	1	5관	2022-08-31	16:50
5157	93	22	1	5관	2022-08-31	19:05
5158	93	1	1	2관	2022-08-31	20:00
5159	93	1	1	7관	2022-08-31	16:45
5160	93	1	1	7관	2022-08-31	19:20
5161	93	1	1	8관	2022-08-31	18:05
5162	93	1	1	8관	2022-08-31	20:45
5163	93	3	1	6관	2022-08-31	17:45
5164	93	2	1	6관	2022-08-31	20:25
5165	93	8	1	2관	2022-08-31	17:40
5166	94	22	1	1관	2022-08-31	18:40
5167	94	22	1	1관	2022-08-31	21:00
5168	94	22	1	2관	2022-08-31	17:35
5169	94	22	1	2관	2022-08-31	19:50
5170	94	22	1	2관	2022-08-31	22:00
5171	94	22	1	3관	2022-08-31	20:40
5172	94	22	1	5관	2022-08-31	18:00
5173	94	22	1	5관	2022-08-31	20:15
5174	94	22	1	5관	2022-08-31	22:31
5175	94	22	1	6관	2022-08-31	16:25
5176	94	22	1	7관	2022-08-31	17:05
5177	94	22	1	7관	2022-08-31	19:20
5178	94	22	1	7관	2022-08-31	21:35
5179	94	1	5	6관	2022-08-31	18:31
5180	94	1	5	6관	2022-08-31	21:10
5181	94	1	1	4관	2022-08-31	16:55
5182	94	1	1	4관	2022-08-31	19:31
5183	94	1	1	4관	2022-08-31	22:10
5184	94	26	1	3관	2022-08-31	18:15
5185	94	4	1	3관	2022-08-31	16:10
5186	94	10	1	3관	2022-08-31	22:50
5187	131	22	1	2관	2022-08-31	18:20
5188	131	22	1	2관	2022-08-31	20:40
5189	131	22	1	3관	2022-08-31	16:40
5190	131	22	1	3관	2022-08-31	19:00
5191	131	22	1	3관	2022-08-31	21:20
5192	131	22	1	4관	2022-08-31	17:31
5193	131	22	1	4관	2022-08-31	19:40
5194	131	22	1	4관	2022-08-31	22:00
5195	131	1	1	1관	2022-08-31	16:31
5196	131	1	1	1관	2022-08-31	19:10
5197	131	1	1	1관	2022-08-31	21:40
5198	131	1	1	5관	2022-08-31	17:40
5199	131	1	1	5관	2022-08-31	20:20
5200	146	22	1	1관	2022-08-31	18:40
5201	146	22	1	1관	2022-08-31	21:00
5202	146	22	1	3관	2022-08-31	17:31
5203	146	22	1	3관	2022-08-31	19:50
5204	146	22	1	4관	2022-08-31	16:50
5205	146	22	1	4관	2022-08-31	19:10
5206	146	22	1	4관	2022-08-31	21:31
5207	146	22	1	5관	2022-08-31	20:31
5208	146	1	1	2관	2022-08-31	17:31
5209	146	1	1	2관	2022-08-31	20:10
5210	146	1	1	6관	2022-08-31	18:50
5211	146	1	1	6관	2022-08-31	21:31
5212	146	10	1	5관	2022-08-31	18:00
5213	159	22	1	1관	2022-08-31	18:00
5214	159	22	1	1관	2022-08-31	20:20
5215	159	22	1	3관	2022-08-31	21:20
5216	159	22	1	4관	2022-08-31	17:00
5217	159	22	1	4관	2022-08-31	19:20
5218	159	22	1	4관	2022-08-31	21:50
5219	159	22	1	5관	2022-08-31	18:31
5220	159	22	1	5관	2022-08-31	20:50
5221	159	22	1	6관	2022-08-31	17:31
5222	159	22	1	6관	2022-08-31	19:50
5223	159	22	1	8관	2022-08-31	18:50
5224	159	25	1	7관	2022-08-31	17:35
5225	159	1	1	3관	2022-08-31	18:10
5226	159	1	1	8관	2022-08-31	21:00
5227	159	26	1	2관	2022-08-31	17:55
5228	159	3	1	2관	2022-08-31	20:31
5229	159	29	1	7관	2022-08-31	20:00
5231	160	22	1	1관	2022-08-31	18:10
5232	160	22	1	1관	2022-08-31	22:40
5233	160	22	1	3관	2022-08-31	17:15
5234	160	22	1	3관	2022-08-31	19:31
5235	160	22	1	3관	2022-08-31	21:45
5236	160	22	1	4관	2022-08-31	17:50
5237	160	22	1	4관	2022-08-31	20:05
5238	160	22	1	4관	2022-08-31	22:20
5239	160	22	1	7관	2022-08-31	18:31
5240	160	22	1	7관	2022-08-31	20:45
5241	160	22	1	7관	2022-08-31	23:00
5242	160	22	1	8관	2022-08-31	16:45
5243	160	22	1	8관	2022-08-31	19:00
5244	160	22	1	8관	2022-08-31	21:15
5245	160	22	1	8관	2022-08-31	23:31
5246	160	1	1	2관	2022-08-31	16:40
5247	160	1	1	2관	2022-08-31	19:20
5248	160	1	1	2관	2022-08-31	21:55
5249	160	1	1	5관	2022-08-31	18:35
5250	160	1	1	5관	2022-08-31	21:10
5251	160	1	1	6관	2022-08-31	17:20
5252	160	1	1	6관	2022-08-31	19:55
5253	160	1	1	6관	2022-08-31	22:31
5254	160	2	1	5관	2022-08-31	23:45
5255	161	22	1	1관	2022-08-31	17:00
5256	161	22	1	1관	2022-08-31	19:20
5257	161	22	1	1관	2022-08-31	21:40
5258	161	22	1	1관	2022-08-31	24:00
5259	161	22	1	2관	2022-08-31	18:50
5260	161	22	1	2관	2022-08-31	21:10
5261	161	22	1	2관	2022-08-31	23:31
5262	161	22	1	3관	2022-08-31	17:15
5263	161	22	1	3관	2022-08-31	23:45
5264	161	22	1	5관	2022-08-31	17:31
5265	161	22	1	5관	2022-08-31	19:50
5266	161	22	1	5관	2022-08-31	22:05
5267	161	22	1	5관	2022-08-31	24:20
5268	161	22	1	9관	2022-08-31	18:20
5269	161	22	1	9관	2022-08-31	20:40
5270	161	22	1	9관	2022-08-31	23:00
5271	161	22	1	10관	2022-08-31	17:50
5272	161	22	1	10관	2022-08-31	20:10
5273	161	22	1	10관	2022-08-31	22:31
5274	161	22	1	10관	2022-08-31	24:50
5275	161	1	1	6관	2022-08-31	18:00
5276	161	1	1	6관	2022-08-31	20:40
5277	161	1	1	6관	2022-08-31	23:20
5278	161	1	3	4DX	2022-08-31	17:20
5279	161	1	3	4DX	2022-08-31	20:00
5280	161	1	3	4DX	2022-08-31	22:40
5281	161	1	1	7관	2022-08-31	16:40
5282	161	1	1	7관	2022-08-31	19:20
5283	161	1	1	7관	2022-08-31	22:00
5284	161	1	1	7관	2022-08-31	24:40
5285	161	1	1	8관	2022-08-31	18:40
5286	161	1	1	8관	2022-08-31	21:20
5287	161	1	1	8관	2022-08-31	24:00
5288	161	2	1	3관	2022-08-31	20:00
5289	161	2	1	3관	2022-08-31	21:55
5290	162	22	1	2관	2022-08-31	19:15
5291	162	22	1	2관	2022-08-31	21:31
5292	162	22	1	3관	2022-08-31	18:15
5293	162	22	1	3관	2022-08-31	20:31
5294	162	22	1	3관	2022-08-31	22:45
5295	162	22	1	4관	2022-08-31	18:00
5296	162	22	1	4관	2022-08-31	20:15
5297	162	22	1	4관	2022-08-31	22:31
5298	162	22	1	5관	2022-08-31	17:35
5299	162	22	1	5관	2022-08-31	19:50
5300	162	22	1	5관	2022-08-31	22:05
5301	162	22	1	7관	2022-08-31	17:15
5302	162	22	1	7관	2022-08-31	19:31
5303	162	22	1	7관	2022-08-31	21:45
5304	162	22	1	9관	2022-08-31	18:31
5305	162	22	1	9관	2022-08-31	20:45
5306	162	22	1	9관	2022-08-31	23:00
5307	162	22	1	11관	2022-08-31	16:45
5308	162	22	1	11관	2022-08-31	19:00
5309	162	22	1	11관	2022-08-31	21:15
5310	162	22	1	11관	2022-08-31	23:31
5311	162	1	5	8관	2022-08-31	17:20
5312	162	1	5	8관	2022-08-31	20:00
5313	162	1	3	4DX	2022-08-31	16:40
5314	162	1	3	4DX	2022-08-31	19:20
5315	162	1	3	4DX	2022-08-31	22:00
5316	162	1	1	1관	2022-08-31	18:40
5317	162	1	1	1관	2022-08-31	21:20
5318	162	1	1	10관	2022-08-31	18:00
5319	162	1	1	10관	2022-08-31	20:40
5320	162	1	1	10관	2022-08-31	23:15
5321	162	2	1	8관	2022-08-31	22:50
5322	163	22	1	1관	2022-08-31	21:20
5323	163	22	1	3관	2022-08-31	19:50
5324	163	22	1	3관	2022-08-31	22:05
5325	163	22	1	5관	2022-08-31	20:15
5326	163	22	1	5관	2022-08-31	22:31
5327	163	22	1	6관	2022-08-31	20:40
5328	163	22	1	6관	2022-08-31	23:00
5329	163	22	1	9관	2022-08-31	19:31
5330	163	22	1	9관	2022-08-31	21:45
5331	163	22	1	10관	2022-08-31	21:05
5332	163	25	1	2관	2022-08-31	19:20
5333	163	1	1	4관	2022-08-31	20:35
5334	163	1	1	8관	2022-08-31	19:35
5335	163	1	1	8관	2022-08-31	22:10
5336	163	29	1	2관	2022-08-31	21:40
5337	164	22	1	2관	2022-08-31	20:45
5338	164	22	1	2관	2022-08-31	23:00
5339	164	22	1	3관	2022-08-31	19:31
5340	164	22	1	3관	2022-08-31	21:45
5341	164	22	1	3관	2022-08-31	24:00
5342	164	22	1	5관	2022-08-31	20:15
5343	164	22	1	5관	2022-08-31	22:31
5344	164	22	1	6관	2022-08-31	20:00
5345	164	22	1	6관	2022-08-31	22:15
5346	164	22	1	7관	2022-08-31	21:15
5347	164	22	1	7관	2022-08-31	23:31
5348	164	22	1	9관	2022-08-31	20:31
5349	164	22	1	9관	2022-08-31	22:45
5350	164	1	1	1관	2022-08-31	20:00
5351	164	1	1	1관	2022-08-31	22:35
5352	164	1	1	8관	2022-08-31	21:00
5353	164	1	1	8관	2022-08-31	23:35
5354	165	22	1	1관	2022-08-31	20:00
5355	165	22	1	1관	2022-08-31	22:15
5356	165	22	1	2관	2022-08-31	20:15
5357	165	22	1	3관	2022-08-31	20:35
5358	165	22	1	3관	2022-08-31	22:50
5359	165	22	1	4관	2022-08-31	19:20
5360	165	22	1	4관	2022-08-31	21:35
5361	165	22	1	5관	2022-08-31	20:55
5362	165	22	1	6관	2022-08-31	21:15
5363	165	22	1	11관	2022-08-31	19:40
5364	165	22	1	11관	2022-08-31	21:55
5365	165	19	1	7관	2022-08-31	19:20
5366	165	1	1	7관	2022-08-31	21:55
5367	165	1	1	8관	2022-08-31	20:20
5368	165	1	1	8관	2022-08-31	23:00
5369	165	1	1	9관	2022-08-31	19:50
5370	165	1	1	9관	2022-08-31	22:25
5371	165	1	1	10관	2022-08-31	20:50
5372	165	10	1	2관	2022-08-31	22:31
5373	166	22	1	2관	2022-08-31	21:15
5374	166	22	1	3관	2022-08-31	19:25
5375	166	22	1	3관	2022-08-31	21:40
5376	166	22	1	4관	2022-08-31	19:50
5377	166	22	1	4관	2022-08-31	22:05
5378	166	22	1	5관	2022-08-31	20:15
5379	166	22	1	5관	2022-08-31	22:31
5380	166	22	1	8관	2022-08-31	20:45
5381	166	22	1	8관	2022-08-31	23:00
5382	166	1	3	4DX	2022-08-31	21:00
5383	166	1	1	6관	2022-08-31	20:10
5384	166	1	1	7관	2022-08-31	19:20
5385	166	1	1	7관	2022-08-31	21:55
5386	166	4	1	6관	2022-08-31	22:45
5387	167	22	1	1관	2022-08-31	19:20
5388	167	22	1	1관	2022-08-31	21:31
5389	167	22	1	1관	2022-08-31	23:40
5390	167	22	1	2관	2022-08-31	20:20
5391	167	22	1	2관	2022-08-31	22:31
5392	167	22	1	5관	2022-08-31	21:10
5393	167	22	1	5관	2022-08-31	23:20
5394	167	22	1	6관	2022-08-31	20:50
5395	167	22	1	6관	2022-08-31	23:00
5396	167	22	1	7관	2022-08-31	19:50
5397	167	22	1	7관	2022-08-31	22:00
5398	167	1	1	3관	2022-08-31	20:00
5399	167	1	1	3관	2022-08-31	22:31
