p_no	u_no	f_no	p_date	p_quantity
886	132	200	2022-03-13	7
887	177	756	2022-03-13	3
888	192	948	2022-03-13	7
889	207	29	2022-03-13	1
890	219	2145	2022-03-13	3
891	16	2310	2022-03-14	10
892	23	3897	2022-03-14	3
893	37	3714	2022-03-14	3
894	41	3194	2022-03-14	3
895	62	4101	2022-03-14	2
896	113	3342	2022-03-14	3
897	135	1926	2022-03-14	7
898	136	516	2022-03-14	1
899	148	727	2022-03-14	6
900	152	589	2022-03-14	7
901	154	2039	2022-03-14	10
902	158	986	2022-03-14	7
903	160	985	2022-03-14	3
904	171	337	2022-03-14	4
905	190	1228	2022-03-14	10
906	213	336	2022-03-14	7
907	214	1086	2022-03-14	10
908	9	4270	2022-03-15	3
909	11	3172	2022-03-15	3
910	11	2669	2022-03-15	6
911	15	3093	2022-03-15	7
912	34	2182	2022-03-15	8
913	37	2378	2022-03-15	8
914	109	2642	2022-03-15	4
915	122	3924	2022-03-15	2
916	150	1869	2022-03-15	8
917	150	1451	2022-03-15	3
918	161	13	2022-03-15	1
919	163	1586	2022-03-15	1
920	168	326	2022-03-15	3
921	178	191	2022-03-15	10
922	178	2016	2022-03-15	9
923	185	697	2022-03-15	4
924	186	734	2022-03-15	1
925	213	865	2022-03-15	10
926	18	4207	2022-03-16	8
927	29	3111	2022-03-16	9
928	31	4118	2022-03-16	5
929	37	3440	2022-03-16	2
930	46	3232	2022-03-16	7
931	72	2615	2022-03-16	2
932	74	3609	2022-03-16	9
933	98	2705	2022-03-16	1
934	113	2312	2022-03-16	9
935	125	1038	2022-03-16	6
936	135	1424	2022-03-16	9
937	170	1833	2022-03-16	1
938	190	1906	2022-03-16	6
939	191	1918	2022-03-16	6
940	211	744	2022-03-16	1
941	226	1133	2022-03-16	6
942	230	1982	2022-03-16	7
943	14	3981	2022-03-17	7
944	17	2256	2022-03-17	9
945	52	4017	2022-03-17	4
946	88	3807	2022-03-17	2
947	107	2833	2022-03-17	1
948	127	1338	2022-03-17	8
949	130	1972	2022-03-17	1
950	141	1276	2022-03-17	1
951	171	1741	2022-03-17	5
952	180	148	2022-03-17	3
953	226	1213	2022-03-17	1
954	4	3994	2022-03-18	7
955	42	2849	2022-03-18	8
956	45	4276	2022-03-18	10
957	87	2516	2022-03-18	2
958	95	3806	2022-03-18	8
959	99	3154	2022-03-18	10
960	99	2666	2022-03-18	9
961	133	2026	2022-03-18	9
962	143	1867	2022-03-18	6
963	145	1632	2022-03-18	6
964	188	150	2022-03-18	5
965	189	432	2022-03-18	5
966	195	1484	2022-03-18	1
967	26	2976	2022-03-19	8
968	36	3939	2022-03-19	10
969	51	3118	2022-03-19	5
970	104	4168	2022-03-19	1
971	112	3171	2022-03-19	6
972	139	765	2022-03-19	10
973	170	2090	2022-03-19	8
974	178	1004	2022-03-19	7
975	200	1117	2022-03-19	2
976	209	674	2022-03-19	9
977	209	1422	2022-03-19	2
978	211	1046	2022-03-19	8
979	12	2764	2022-03-20	2
980	25	2734	2022-03-20	4
981	41	4174	2022-03-20	5
982	66	3921	2022-03-20	6
983	69	4233	2022-03-20	6
984	85	2573	2022-03-20	3
985	98	3384	2022-03-20	5
986	122	3622	2022-03-20	9
987	160	518	2022-03-20	10
988	170	959	2022-03-20	7
989	177	2055	2022-03-20	4
990	201	439	2022-03-20	6
991	207	891	2022-03-20	4
992	221	2030	2022-03-20	7
993	44	3536	2022-03-21	4
994	64	3580	2022-03-21	5
995	90	2989	2022-03-21	7
996	142	730	2022-03-21	8
997	143	1257	2022-03-21	7
998	156	412	2022-03-21	4
999	162	1423	2022-03-21	2
1000	165	1578	2022-03-21	8
1001	194	1032	2022-03-21	5
1002	211	2035	2022-03-21	1
1003	215	1457	2022-03-21	2
1004	228	1990	2022-03-21	10
1005	3	2726	2022-03-22	7
1006	28	2884	2022-03-22	7
1007	44	4374	2022-03-22	9
1008	58	2415	2022-03-22	2
1009	109	3783	2022-03-22	10
1010	134	2065	2022-03-22	7
1011	136	1723	2022-03-22	9
1012	137	1195	2022-03-22	9
1013	141	1199	2022-03-22	2
1014	153	666	2022-03-22	7
1015	160	1209	2022-03-22	10
1016	161	1083	2022-03-22	8
1017	162	812	2022-03-22	5
1018	203	448	2022-03-22	10
1019	225	2046	2022-03-22	7
1020	233	1198	2022-03-22	8
1021	30	3573	2022-03-23	2
1022	33	2246	2022-03-23	5
1023	49	4373	2022-03-23	5
1024	106	3049	2022-03-23	2
1025	141	536	2022-03-23	10
1026	173	2067	2022-03-23	1
1027	191	67	2022-03-23	6
1028	213	343	2022-03-23	5
1029	225	517	2022-03-23	9
1030	60	2460	2022-03-24	6
1031	62	2647	2022-03-24	2
1032	87	2740	2022-03-24	5
1033	119	4083	2022-03-24	1
1034	122	3581	2022-03-24	10
1035	129	947	2022-03-24	4
1036	145	1035	2022-03-24	3
1037	148	1508	2022-03-24	8
1038	177	1146	2022-03-24	7
1039	190	1635	2022-03-24	6
1040	226	1312	2022-03-24	1
1041	227	1569	2022-03-24	9
1042	228	1276	2022-03-24	3
1043	34	2853	2022-03-25	1
1044	60	4086	2022-03-25	7
1045	89	3773	2022-03-25	7
1046	107	3844	2022-03-25	3
1047	144	461	2022-03-25	2
1048	178	1150	2022-03-25	3
1049	185	948	2022-03-25	8
1050	186	1142	2022-03-25	7
1051	22	3252	2022-03-26	6
1052	58	3938	2022-03-26	8
1053	87	3612	2022-03-26	9
1054	108	3583	2022-03-26	1
1055	148	1006	2022-03-26	7
1056	166	294	2022-03-26	8
1057	191	1103	2022-03-26	7
1058	231	1962	2022-03-26	10
1059	3	3800	2022-03-27	8
1060	30	4210	2022-03-27	3
1061	42	3207	2022-03-27	8
1062	62	2935	2022-03-27	3
1063	141	1497	2022-03-27	5
1064	154	231	2022-03-27	4
1065	167	1789	2022-03-27	5
1066	174	1200	2022-03-27	1
1067	230	1831	2022-03-27	4
1068	2	3333	2022-03-28	4
1069	27	3853	2022-03-28	4
1070	54	2525	2022-03-28	4
1071	58	4259	2022-03-28	2
1072	67	2514	2022-03-28	2
1073	75	3184	2022-03-28	1
1074	104	3330	2022-03-28	3
1075	111	2506	2022-03-28	1
1076	112	3406	2022-03-28	8
1077	125	1762	2022-03-28	3
1078	157	1128	2022-03-28	10
1079	170	473	2022-03-28	1
1080	186	1241	2022-03-28	4
1081	195	320	2022-03-28	1
1082	228	1778	2022-03-28	10
1083	9	4161	2022-03-29	8
1084	23	4159	2022-03-29	2
1085	42	2249	2022-03-29	10
1086	122	3550	2022-03-29	7
1087	133	564	2022-03-29	8
1088	167	1508	2022-03-29	3
1089	186	2153	2022-03-29	2
1090	202	1371	2022-03-29	7
1091	74	2180	2022-03-30	6
1092	75	3099	2022-03-30	8
1093	90	2486	2022-03-30	10
1094	100	4294	2022-03-30	3
1095	117	3880	2022-03-30	1
1096	141	165	2022-03-30	2
1097	144	464	2022-03-30	10
1098	183	960	2022-03-30	4
1099	191	474	2022-03-30	2
1100	191	2149	2022-03-30	2
1101	193	502	2022-03-30	2
1102	210	99	2022-03-30	6
1103	222	1385	2022-03-30	6
1104	2	4241	2022-03-31	4
1105	19	3312	2022-03-31	4
1106	96	2654	2022-03-31	2
1107	157	1029	2022-03-31	10
1108	160	1933	2022-03-31	9
1109	161	2102	2022-03-31	2
1110	184	154	2022-03-31	5
1111	204	168	2022-03-31	5
1112	218	1976	2022-03-31	5
1113	222	528	2022-03-31	1
1114	91	3926	2022-04-01	10
1115	107	2445	2022-04-01	9
1116	112	3322	2022-04-01	10
1117	157	299	2022-04-01	5
1118	175	306	2022-04-01	4
1119	192	1549	2022-04-01	3
1120	199	823	2022-04-01	4
1121	43	4007	2022-04-02	8
1122	89	3637	2022-04-02	3
1123	91	3692	2022-04-02	4
1124	101	3796	2022-04-02	1
1125	120	2237	2022-04-02	4
1126	143	2100	2022-04-02	9
1127	167	27	2022-04-02	3
1128	178	1476	2022-04-02	8
1129	179	2081	2022-04-02	4
1130	179	1735	2022-04-02	6
1131	201	2058	2022-04-02	8
1132	211	642	2022-04-02	7
1133	214	2055	2022-04-02	7
1134	216	1374	2022-04-02	1
1135	228	1312	2022-04-02	4
1136	17	3912	2022-04-03	7
1137	53	2380	2022-04-03	4
1138	93	3686	2022-04-03	9
1139	109	4118	2022-04-03	5
1140	139	837	2022-04-03	7
1141	149	153	2022-04-03	7
1142	168	164	2022-04-03	7
1143	183	2095	2022-04-03	8
1144	191	116	2022-04-03	9
1145	204	2086	2022-04-03	6
1146	210	381	2022-04-03	10
1147	214	1914	2022-04-03	6
1148	218	12	2022-04-03	7
1149	219	2090	2022-04-03	8
1150	221	253	2022-04-03	9
1151	229	1248	2022-04-03	9
1152	232	1637	2022-04-03	8
1153	13	3861	2022-04-04	6
1154	17	2217	2022-04-04	5
1155	23	4115	2022-04-04	1
1156	35	2861	2022-04-04	1
1157	50	2703	2022-04-04	8
1158	68	3766	2022-04-04	3
1159	77	3098	2022-04-04	9
1160	107	3728	2022-04-04	1
1161	112	2427	2022-04-04	9
1162	136	1265	2022-04-04	9
1163	138	374	2022-04-04	4
1164	145	680	2022-04-04	6
1165	146	2082	2022-04-04	10
1166	168	857	2022-04-04	3
1167	200	1059	2022-04-04	6
1168	217	1422	2022-04-04	7
1169	217	631	2022-04-04	5
1170	5	3772	2022-04-05	2
1171	16	3551	2022-04-05	5
1172	23	2270	2022-04-05	2
1173	60	2185	2022-04-05	1
1174	62	3333	2022-04-05	8
1175	78	3441	2022-04-05	2
1176	92	4107	2022-04-05	1
1177	99	3316	2022-04-05	10
1178	105	4221	2022-04-05	2
1179	130	1313	2022-04-05	7
1180	164	1519	2022-04-05	6
1181	176	497	2022-04-05	1
1182	176	1591	2022-04-05	4
1183	178	1839	2022-04-05	6
1184	189	1223	2022-04-05	2
1185	210	1527	2022-04-05	3
1186	22	2430	2022-04-06	8
1187	76	2691	2022-04-06	5
1188	87	4352	2022-04-06	4
1189	89	3674	2022-04-06	6
1190	174	1804	2022-04-06	10
1191	185	289	2022-04-06	2
1192	209	1650	2022-04-06	8
1193	6	2428	2022-04-07	8
1194	19	3401	2022-04-07	4
1195	30	3107	2022-04-07	1
1196	53	3161	2022-04-07	7
1197	80	2982	2022-04-07	2
1198	96	4193	2022-04-07	7
1199	102	2733	2022-04-07	2
1200	147	79	2022-04-07	8
1201	155	23	2022-04-07	7
1202	155	1768	2022-04-07	9
1203	155	465	2022-04-07	3
1204	174	808	2022-04-07	9
1205	181	1563	2022-04-07	4
1206	195	1341	2022-04-07	3
1207	201	517	2022-04-07	3
1208	224	1500	2022-04-07	2
1209	229	1869	2022-04-07	8
1210	14	4098	2022-04-08	8
1211	24	2786	2022-04-08	5
1212	114	3700	2022-04-08	8
1213	125	2015	2022-04-08	10
1214	144	1344	2022-04-08	10
1215	175	2005	2022-04-08	2
1216	177	1012	2022-04-08	5
1217	180	1239	2022-04-08	7
1218	189	1522	2022-04-08	4
1219	218	604	2022-04-08	8
1220	228	429	2022-04-08	10
1221	37	3087	2022-04-09	7
1222	50	2935	2022-04-09	3
1223	76	4128	2022-04-09	7
1224	120	2582	2022-04-09	5
1225	134	1695	2022-04-09	3
1226	156	676	2022-04-09	9
1227	157	1915	2022-04-09	1
1228	170	951	2022-04-09	1
1229	191	1499	2022-04-09	8
1230	211	976	2022-04-09	1
1231	226	1058	2022-04-09	10
1232	232	1496	2022-04-09	4
1233	7	2440	2022-04-10	8
1234	24	2297	2022-04-10	3
1235	58	2605	2022-04-10	6
1236	75	3039	2022-04-10	1
1237	133	996	2022-04-10	3
1238	148	469	2022-04-10	10
1239	152	1023	2022-04-10	9
1240	159	2080	2022-04-10	6
1241	165	1818	2022-04-10	7
1242	165	2064	2022-04-10	7
1243	229	2005	2022-04-10	6
1244	11	2261	2022-04-11	2
1245	33	3816	2022-04-11	4
1246	53	2483	2022-04-11	1
1247	95	4315	2022-04-11	7
1248	99	3231	2022-04-11	5
1249	136	636	2022-04-11	2
1250	141	2010	2022-04-11	4
1251	146	153	2022-04-11	3
1252	156	836	2022-04-11	6
1253	177	842	2022-04-11	8
1254	197	1569	2022-04-11	10
1255	206	1370	2022-04-11	8
1256	1	2698	2022-04-12	4
1257	7	3415	2022-04-12	4
1258	31	3678	2022-04-12	2
1259	43	2388	2022-04-12	3
1260	46	3201	2022-04-12	9
1261	49	3944	2022-04-12	10
1262	70	2318	2022-04-12	10
1263	99	2562	2022-04-12	8
1264	102	2670	2022-04-12	2
1265	117	3965	2022-04-12	4
1266	127	1431	2022-04-12	4
1267	144	1261	2022-04-12	7
1268	160	1997	2022-04-12	4
1269	182	1073	2022-04-12	3
1270	210	1854	2022-04-12	8
1271	219	1332	2022-04-12	5
1272	8	2924	2022-04-13	6
1273	31	2465	2022-04-13	10
1274	53	4317	2022-04-13	6
1275	106	3087	2022-04-13	2
1276	124	2670	2022-04-13	1
1277	125	879	2022-04-13	8
1278	134	511	2022-04-13	1
1279	143	733	2022-04-13	6
1280	160	758	2022-04-13	8
1281	162	2051	2022-04-13	9
1282	163	1715	2022-04-13	6
1283	172	1000	2022-04-13	5
1284	175	1986	2022-04-13	2
1285	1	3753	2022-04-14	8
1286	9	4264	2022-04-14	9
1287	12	3838	2022-04-14	3
1288	48	3793	2022-04-14	1
1289	91	3819	2022-04-14	4
1290	110	3003	2022-04-14	7
1291	140	1544	2022-04-14	7
1292	175	897	2022-04-14	5
1293	182	418	2022-04-14	5
1294	187	369	2022-04-14	9
1295	193	229	2022-04-14	1
1296	233	1887	2022-04-14	3
1297	5	2700	2022-04-15	8
1298	26	4320	2022-04-15	7
1299	28	2670	2022-04-15	1
1300	72	4324	2022-04-15	8
1301	123	3717	2022-04-15	7
1302	157	77	2022-04-15	4
1303	187	592	2022-04-15	1
1304	188	985	2022-04-15	10
1305	194	1887	2022-04-15	5
1306	5	2407	2022-04-16	7
1307	14	4154	2022-04-16	5
1308	23	4317	2022-04-16	6
1309	30	3558	2022-04-16	9
1310	31	2286	2022-04-16	1
1311	38	4255	2022-04-16	9
1312	65	2924	2022-04-16	6
1313	68	2423	2022-04-16	7
1314	130	1137	2022-04-16	3
1315	130	1919	2022-04-16	9
1316	132	1931	2022-04-16	4
1317	147	496	2022-04-16	7
1318	152	1405	2022-04-16	10
1319	175	1397	2022-04-16	3
1320	178	1766	2022-04-16	8
1321	186	20	2022-04-16	7
1322	188	479	2022-04-16	1
1323	191	943	2022-04-16	6
1324	194	1800	2022-04-16	5
1325	217	1741	2022-04-16	3
1326	221	872	2022-04-16	1
1327	226	646	2022-04-16	3
1328	230	1129	2022-04-16	8
1329	16	2785	2022-04-17	7
1330	24	2859	2022-04-17	7
1331	43	2440	2022-04-17	4
1332	47	3411	2022-04-17	10
1333	59	4325	2022-04-17	5
1334	99	2239	2022-04-17	4
1335	117	4151	2022-04-17	8
1336	135	492	2022-04-17	1
1337	139	1249	2022-04-17	5
1338	156	221	2022-04-17	5
1339	164	361	2022-04-17	2
1340	179	1279	2022-04-17	2
1341	213	56	2022-04-17	9
1342	218	1698	2022-04-17	10
1343	225	1244	2022-04-17	7
1344	229	493	2022-04-17	6
1345	3	3496	2022-04-18	5
1346	19	3186	2022-04-18	9
1347	21	2831	2022-04-18	5
1348	39	4110	2022-04-18	1
1349	45	2509	2022-04-18	1
1350	50	3322	2022-04-18	4
1351	61	2957	2022-04-18	5
1352	106	3695	2022-04-18	3
1353	145	884	2022-04-18	8
1354	157	271	2022-04-18	6
1355	191	496	2022-04-18	5
1356	204	830	2022-04-18	8
1357	206	78	2022-04-18	1
1358	207	468	2022-04-18	4
1359	210	348	2022-04-18	10
1360	229	739	2022-04-18	2
1361	33	4033	2022-04-19	1
1362	84	2320	2022-04-19	10
1363	108	2790	2022-04-19	8
1364	116	4385	2022-04-19	2
1365	116	3693	2022-04-19	5
1366	117	3884	2022-04-19	8
1367	118	3484	2022-04-19	5
1368	162	1008	2022-04-19	6
1369	169	784	2022-04-19	8
1370	219	585	2022-04-19	1
1371	228	1442	2022-04-19	7
1372	230	2104	2022-04-19	7
1373	231	1118	2022-04-19	7
1374	5	4160	2022-04-20	7
1375	5	3582	2022-04-20	5
1376	14	4054	2022-04-20	8
1377	22	3529	2022-04-20	7
1378	54	3884	2022-04-20	9
1379	71	2301	2022-04-20	8
1380	73	3781	2022-04-20	8
1381	97	2632	2022-04-20	9
1382	146	208	2022-04-20	2
1383	147	513	2022-04-20	3
1384	167	586	2022-04-20	4
1385	187	754	2022-04-20	9
1386	199	1536	2022-04-20	10
1387	2	3321	2022-04-21	10
1388	27	2418	2022-04-21	3
1389	50	2782	2022-04-21	8
1390	69	2784	2022-04-21	8
1391	69	3227	2022-04-21	8
1392	138	1497	2022-04-21	2
1393	147	1488	2022-04-21	4
1394	150	10	2022-04-21	1
1395	210	1890	2022-04-21	1
1396	216	1601	2022-04-21	7
1397	226	2141	2022-04-21	2
1398	67	3829	2022-04-22	6
1399	134	723	2022-04-22	3
1400	143	232	2022-04-22	9
1401	174	1153	2022-04-22	1
1402	178	899	2022-04-22	5
1403	193	311	2022-04-22	1
1404	199	956	2022-04-22	8
1405	205	439	2022-04-22	1
1406	219	1866	2022-04-22	5
1407	226	1230	2022-04-22	8
1408	14	2246	2022-04-23	3
1409	31	4083	2022-04-23	8
1410	36	3995	2022-04-23	4
1411	57	3091	2022-04-23	5
1412	148	1050	2022-04-23	2
1413	150	1921	2022-04-23	3
1414	152	322	2022-04-23	9
1415	1	4019	2022-04-24	2
1416	55	3585	2022-04-24	3
1417	73	2644	2022-04-24	3
1418	76	2539	2022-04-24	7
1419	93	3373	2022-04-24	6
1420	106	4093	2022-04-24	10
1421	132	2043	2022-04-24	2
1422	135	1712	2022-04-24	1
1423	140	673	2022-04-24	7
1424	160	1639	2022-04-24	3
1425	173	407	2022-04-24	8
1426	176	152	2022-04-24	5
1427	217	74	2022-04-24	6
1428	22	4305	2022-04-25	7
1429	68	3196	2022-04-25	9
1430	69	2503	2022-04-25	7
1431	100	3537	2022-04-25	8
1432	142	9	2022-04-25	2
1433	156	757	2022-04-25	8
1434	165	1856	2022-04-25	3
1435	187	953	2022-04-25	8
1436	194	1921	2022-04-25	10
1437	3	3465	2022-04-26	2
1438	9	3458	2022-04-26	6
1439	12	2707	2022-04-26	6
1440	15	2972	2022-04-26	9
1441	19	3799	2022-04-26	7
1442	31	3647	2022-04-26	2
1443	31	2450	2022-04-26	3
1444	74	4250	2022-04-26	1
1445	100	4125	2022-04-26	2
1446	144	1102	2022-04-26	1
1447	145	1096	2022-04-26	8
1448	153	1455	2022-04-26	10
1449	153	1033	2022-04-26	10
1450	176	915	2022-04-26	7
1451	177	1435	2022-04-26	3
1452	179	1349	2022-04-26	6
1453	180	1598	2022-04-26	5
1454	218	191	2022-04-26	2
1455	221	827	2022-04-26	9
1456	226	1944	2022-04-26	2
1457	23	3363	2022-04-27	8
1458	107	3175	2022-04-27	3
1459	118	4123	2022-04-27	8
1460	137	718	2022-04-27	8
1461	178	1154	2022-04-27	6
1462	184	272	2022-04-27	1
1463	188	1636	2022-04-27	9
1464	222	144	2022-04-27	7
1465	2	2369	2022-04-28	9
1466	25	2859	2022-04-28	1
1467	25	4055	2022-04-28	10
1468	88	2766	2022-04-28	6
1469	98	2207	2022-04-28	3
1470	135	1038	2022-04-28	1
1471	140	1858	2022-04-28	9
1472	140	994	2022-04-28	2
1473	159	112	2022-04-28	6
1474	168	26	2022-04-28	8
1475	16	2621	2022-04-29	3
1476	64	2724	2022-04-29	10
1477	64	3725	2022-04-29	7
1478	65	3483	2022-04-29	10
1479	81	3546	2022-04-29	2
1480	100	2347	2022-04-29	6
1481	135	184	2022-04-29	6
1482	142	1841	2022-04-29	8
1483	190	284	2022-04-29	10
1484	204	2150	2022-04-29	5
1485	11	3634	2022-04-30	8
1486	33	2677	2022-04-30	9
1487	52	2778	2022-04-30	5
1488	79	3737	2022-04-30	2
1489	87	2357	2022-04-30	8
1490	143	901	2022-04-30	2
1491	148	706	2022-04-30	7
1492	151	1061	2022-04-30	6
1493	151	1680	2022-04-30	6
1494	161	1357	2022-04-30	6
1495	185	716	2022-04-30	7
1496	192	1999	2022-04-30	9
1497	208	297	2022-04-30	1
1498	209	248	2022-04-30	5
1499	211	239	2022-04-30	2
1500	221	200	2022-04-30	7
1501	223	96	2022-04-30	10
1502	112	4338	2022-05-01	9
1503	127	644	2022-05-01	7
1504	141	1928	2022-05-01	10
1505	145	1295	2022-05-01	4
1506	149	1930	2022-05-01	3
1507	168	1008	2022-05-01	8
1508	173	1231	2022-05-01	5
1509	176	213	2022-05-01	9
1510	182	1563	2022-05-01	7
1511	221	1936	2022-05-01	10
1512	51	4368	2022-05-02	3
1513	56	2651	2022-05-02	9
1514	86	2163	2022-05-02	9
1515	117	3917	2022-05-02	5
1516	129	1396	2022-05-02	8
1517	131	1566	2022-05-02	4
1518	134	951	2022-05-02	7
1519	146	447	2022-05-02	1
1520	190	794	2022-05-02	8
1521	206	913	2022-05-02	10
1522	6	3654	2022-05-03	4
1523	22	3340	2022-05-03	10
1524	39	2411	2022-05-03	10
1525	42	2947	2022-05-03	5
1526	99	4235	2022-05-03	1
1527	104	3713	2022-05-03	6
1528	111	2366	2022-05-03	5
1529	133	1239	2022-05-03	9
1530	147	1559	2022-05-03	4
1531	150	259	2022-05-03	5
1532	160	1645	2022-05-03	5
1533	192	43	2022-05-03	5
1534	193	131	2022-05-03	10
1535	219	1523	2022-05-03	9
1536	231	440	2022-05-03	6
1537	18	3008	2022-05-04	8
1538	30	2955	2022-05-04	4
1539	45	4299	2022-05-04	9
1540	101	3964	2022-05-04	2
1541	109	2817	2022-05-04	3
1542	123	3326	2022-05-04	9
1543	163	159	2022-05-04	10
1544	168	1178	2022-05-04	1
1545	195	673	2022-05-04	4
1546	198	1936	2022-05-04	6
1547	206	1752	2022-05-04	10
1548	216	967	2022-05-04	5
1549	225	7	2022-05-04	10
1550	228	453	2022-05-04	9
1551	44	2310	2022-05-05	1
1552	51	2207	2022-05-05	2
1553	81	2766	2022-05-05	6
1554	99	2931	2022-05-05	3
1555	106	3861	2022-05-05	10
1556	138	65	2022-05-05	2
1557	160	1195	2022-05-05	10
1558	189	1695	2022-05-05	2
1559	232	1498	2022-05-05	2
1560	3	3409	2022-05-06	9
1561	34	3812	2022-05-06	2
1562	89	3493	2022-05-06	2
1563	116	3952	2022-05-06	3
1564	182	1124	2022-05-06	7
1565	184	1784	2022-05-06	10
1566	190	1979	2022-05-06	4
1567	210	1468	2022-05-06	5
1568	211	813	2022-05-06	10
1569	223	1591	2022-05-06	8
1570	233	1546	2022-05-06	6
1571	28	2771	2022-05-07	4
1572	37	2879	2022-05-07	10
1573	54	3398	2022-05-07	9
1574	68	3144	2022-05-07	8
1575	92	2609	2022-05-07	6
1576	93	4340	2022-05-07	5
1577	105	3894	2022-05-07	2
1578	128	1939	2022-05-07	4
1579	149	1623	2022-05-07	8
1580	152	498	2022-05-07	9
1581	165	1825	2022-05-07	8
1582	173	412	2022-05-07	5
1583	175	291	2022-05-07	1
1584	180	729	2022-05-07	5
1585	194	1853	2022-05-07	1
1586	197	40	2022-05-07	2
1587	206	1181	2022-05-07	7
1588	209	1719	2022-05-07	6
1589	226	2150	2022-05-07	4
1590	59	3684	2022-05-08	5
1591	64	3649	2022-05-08	7
1592	68	3268	2022-05-08	8
1593	105	3210	2022-05-08	7
1594	114	2507	2022-05-08	7
1595	120	2973	2022-05-08	4
1596	165	1860	2022-05-08	1
1597	166	784	2022-05-08	4
1598	177	502	2022-05-08	2
1599	186	235	2022-05-08	5
1600	188	418	2022-05-08	7
1601	193	971	2022-05-08	6
1602	195	1799	2022-05-08	8
1603	204	1627	2022-05-08	10
1604	223	966	2022-05-08	5
1605	2	2295	2022-05-09	4
1606	5	2986	2022-05-09	8
1607	12	2799	2022-05-09	7
1608	31	4213	2022-05-09	2
1609	58	2285	2022-05-09	1
1610	102	3694	2022-05-09	6
1611	106	2586	2022-05-09	6
1612	111	4046	2022-05-09	10
1613	125	903	2022-05-09	8
1614	130	799	2022-05-09	10
1615	152	587	2022-05-09	4
1616	157	1138	2022-05-09	7
1617	49	2812	2022-05-10	4
1618	52	2515	2022-05-10	5
1619	71	3138	2022-05-10	8
1620	76	3538	2022-05-10	1
1621	97	4277	2022-05-10	4
1622	126	1510	2022-05-10	8
1623	163	1733	2022-05-10	3
1624	170	176	2022-05-10	8
1625	193	623	2022-05-10	5
1626	198	1663	2022-05-10	6
1627	198	856	2022-05-10	7
1628	205	976	2022-05-10	6
1629	217	424	2022-05-10	7
1630	11	4121	2022-05-11	2
1631	22	3258	2022-05-11	4
1632	37	4032	2022-05-11	1
1633	46	3629	2022-05-11	7
1634	120	3720	2022-05-11	3
1635	135	421	2022-05-11	7
1636	144	2053	2022-05-11	9
1637	154	403	2022-05-11	7
1638	204	582	2022-05-11	10
1639	209	447	2022-05-11	1
1640	220	1879	2022-05-11	6
1641	224	2125	2022-05-11	5
1642	228	1083	2022-05-11	4
1643	14	2983	2022-05-12	9
1644	16	2819	2022-05-12	6
1645	24	2958	2022-05-12	1
1646	58	4174	2022-05-12	1
1647	68	3346	2022-05-12	8
1648	71	2584	2022-05-12	6
1649	74	3004	2022-05-12	9
1650	101	3378	2022-05-12	5
1651	103	3427	2022-05-12	2
1652	111	2976	2022-05-12	7
1653	114	3719	2022-05-12	9
1654	122	3105	2022-05-12	9
1655	233	1222	2022-05-12	7
1656	15	3873	2022-05-13	9
1657	34	2376	2022-05-13	9
1658	104	2882	2022-05-13	6
1659	125	2021	2022-05-13	8
1660	137	885	2022-05-13	4
1661	137	811	2022-05-13	5
1662	146	73	2022-05-13	5
1663	148	716	2022-05-13	5
1664	153	2009	2022-05-13	7
1665	180	1294	2022-05-13	8
1666	198	1281	2022-05-13	5
1667	204	1522	2022-05-13	5
1668	223	223	2022-05-13	5
1669	226	596	2022-05-13	7
1670	61	3762	2022-05-14	5
1671	76	3488	2022-05-14	2
1672	148	848	2022-05-14	6
1673	177	843	2022-05-14	4
1674	185	762	2022-05-14	1
1675	211	333	2022-05-14	6
1676	13	3749	2022-05-15	8
1677	21	2986	2022-05-15	6
1678	35	2849	2022-05-15	2
1679	55	4102	2022-05-15	6
1680	65	4262	2022-05-15	1
1681	82	2971	2022-05-15	5
1682	89	3884	2022-05-15	10
1683	115	2358	2022-05-15	3
1684	119	2635	2022-05-15	2
1685	157	2119	2022-05-15	8
1686	163	1925	2022-05-15	6
1687	207	116	2022-05-15	8
1688	208	2085	2022-05-15	10
1689	213	2068	2022-05-15	3
1690	48	2483	2022-05-16	3
1691	72	2692	2022-05-16	4
1692	92	3538	2022-05-16	6
1693	146	555	2022-05-16	3
1694	148	1864	2022-05-16	6
1695	153	1596	2022-05-16	8
1696	163	13	2022-05-16	3
1697	166	1766	2022-05-16	3
1698	169	1772	2022-05-16	1
1699	184	1540	2022-05-16	5
1700	184	2107	2022-05-16	3
1701	205	244	2022-05-16	3
1702	33	3853	2022-05-17	2
1703	71	3999	2022-05-17	4
1704	80	3849	2022-05-17	7
1705	181	403	2022-05-17	7
1706	182	237	2022-05-17	7
1707	222	2097	2022-05-17	6
1708	19	2867	2022-05-18	8
1709	40	2827	2022-05-18	7
1710	43	2768	2022-05-18	4
1711	63	3943	2022-05-18	7
1712	84	2909	2022-05-18	10
1713	87	3734	2022-05-18	8
1714	110	4351	2022-05-18	7
1715	131	581	2022-05-18	9
1716	220	1639	2022-05-18	1
1717	230	323	2022-05-18	10
1718	85	2306	2022-05-19	7
1719	99	3461	2022-05-19	4
1720	103	3714	2022-05-19	5
1721	114	2257	2022-05-19	3
1722	130	1549	2022-05-19	1
1723	132	728	2022-05-19	8
1724	133	416	2022-05-19	7
1725	147	1013	2022-05-19	5
1726	176	135	2022-05-19	2
