f_no	u_no	b_no	f_amount	f_quantity
1256	72	7	3144	22
1257	72	24	2907	36
1258	73	7	854	22
1259	73	3	2624	40
1260	73	15	757	35
1261	73	33	4139	29
1262	73	9	1106	25
1263	73	29	4626	40
1264	73	27	1264	37
1265	73	21	1654	27
1266	73	34	1236	26
1267	73	10	2655	38
1268	73	4	4571	23
1269	73	18	2078	38
1270	73	26	1542	30
1271	73	31	2535	33
1272	73	5	2406	29
1273	73	19	1803	40
1274	73	23	4536	29
1275	74	27	4443	24
1276	74	5	3536	33
1277	74	3	2789	27
1278	74	17	1716	38
1279	74	8	1700	26
1280	74	32	4214	24
1281	74	23	2643	38
1282	74	19	615	33
1283	74	30	622	36
1284	74	9	4530	37
1285	74	16	2627	27
1286	74	11	4366	38
1287	74	28	1512	29
1288	74	10	2286	29
1289	74	7	3040	20
1290	75	2	3300	36
1291	75	13	4714	33
1292	75	8	2169	26
1293	75	11	2354	24
1294	75	34	1051	34
1295	75	30	4920	33
1296	75	28	3421	39
1297	75	18	3900	31
1298	75	31	4417	25
1299	75	15	1592	27
1300	75	16	2852	21
1301	75	24	4088	26
1302	75	9	2702	21
1303	75	20	1576	30
1304	75	21	1459	29
1305	75	17	4598	36
1306	75	6	2705	28
1307	75	4	2968	32
1308	75	32	3967	38
1309	75	23	3072	21
1310	75	33	4844	33
1311	76	20	1738	37
1312	76	8	2288	38
1313	76	30	2531	20
1314	76	15	3439	27
1315	76	34	1738	21
1316	76	5	4148	25
1317	76	24	4789	40
1318	76	3	2603	22
1319	76	31	3649	38
1320	76	29	2948	25
1321	76	10	2119	25
1322	76	11	4240	38
1323	76	18	555	23
1324	76	7	3573	40
1325	76	22	4799	31
1326	76	16	4185	24
1327	76	12	769	24
1328	76	27	1692	37
1329	76	23	4305	26
1330	76	2	1785	28
1331	76	4	4924	22
1332	76	28	2788	23
1333	76	17	4781	31
1334	76	13	2553	35
1335	76	9	3081	20
1336	76	26	1425	33
1337	77	8	2559	29
1338	77	24	2993	21
1339	77	5	3955	20
1340	77	12	2011	28
1341	77	10	1866	34
1342	77	29	4048	26
1343	77	15	4286	38
1344	77	7	4035	23
1345	77	26	2067	26
1346	77	34	2084	22
1347	77	33	585	20
1348	77	27	2807	20
1349	77	16	3877	31
1350	77	1	643	25
1351	77	14	4121	37
1352	77	17	2619	24
1353	77	25	4449	27
1354	77	6	2001	26
1355	77	3	4877	35
1356	77	22	1833	26
1357	78	12	4165	40
1358	78	9	2963	36
1359	78	32	3573	24
1360	78	29	4694	32
1361	78	31	2980	35
1362	78	20	1399	26
1363	78	22	659	35
1364	78	10	1465	31
1365	78	8	2525	40
1366	78	1	2387	27
1367	78	21	1605	21
1368	78	27	2371	31
1369	78	26	2631	33
1370	78	18	1933	27
1371	78	4	954	36
1372	78	19	913	36
1373	79	22	1497	22
1374	79	28	2747	22
1375	79	8	2933	40
1376	79	18	1058	29
1377	79	25	2364	28
1378	79	32	3130	36
1379	79	30	2819	33
1380	79	19	2003	22
1381	79	27	4880	20
1382	79	31	1902	23
1383	79	1	1848	23
1384	79	12	2429	26
1385	79	3	4088	31
1386	79	14	668	36
1387	79	7	1520	25
1388	79	10	4489	22
1389	79	24	4484	28
1390	79	13	550	33
1391	79	21	3791	27
1392	79	23	2384	30
1393	79	17	4614	26
1394	79	11	610	34
1395	79	26	1670	39
1396	80	4	1044	36
1397	80	12	4519	27
1398	80	27	2722	32
1399	80	26	2628	24
1400	80	21	2645	39
1401	80	7	4179	21
1402	80	5	2806	31
1403	80	8	2122	38
1404	80	1	3293	33
1405	80	9	3786	37
1406	80	29	666	39
1407	80	17	1919	20
1408	80	22	2639	27
1409	80	25	2254	23
1410	80	19	3314	39
1411	80	34	4514	30
1412	80	16	923	26
1413	80	32	1140	27
1414	80	11	2047	39
1415	80	10	1950	38
1416	81	30	1648	36
1417	81	4	2500	22
1418	81	31	1224	23
1419	81	9	671	23
1420	81	6	3664	22
1421	81	24	643	23
1422	81	2	3492	22
1423	81	15	3541	22
1424	81	10	827	21
1425	81	33	1590	29
1426	81	12	3945	38
1427	81	5	1644	29
1428	81	22	1289	31
1429	81	27	2641	36
1430	81	1	4651	20
1431	81	19	3802	21
1432	81	16	2926	37
1433	81	26	2404	23
1434	82	21	4301	28
1435	82	32	2735	36
1436	82	27	1699	36
1437	82	7	3774	20
1438	82	17	868	28
1439	82	29	3768	27
1440	82	14	4696	27
1441	82	20	4816	33
1442	82	6	2954	35
1443	82	25	1251	30
1444	82	5	4904	40
1445	82	9	4292	26
1446	83	3	1695	37
1447	83	1	1058	32
1448	83	4	1729	22
1449	83	16	2333	22
1450	83	14	3816	23
1451	83	29	3892	39
1452	83	32	839	26
1453	83	17	4979	29
1454	83	30	4956	30
1455	83	34	2367	26
1456	84	25	2573	31
1457	84	33	4339	33
1458	84	7	3041	32
1459	84	21	2719	29
1460	84	5	3158	31
1461	84	29	2210	29
1462	84	3	1541	39
1463	84	24	4288	25
1464	84	1	2425	32
1465	84	20	1804	23
1466	84	17	555	20
1467	84	22	3147	38
1468	84	32	573	35
1469	84	16	1311	38
1470	84	10	3527	23
1471	84	14	717	32
1472	84	31	4804	36
1473	84	8	3467	38
1474	84	30	1294	40
1475	85	29	4838	22
1476	85	10	1382	26
1477	85	6	2608	34
1478	85	31	1491	26
1479	85	21	2967	23
1480	85	18	4246	34
1481	85	3	3189	31
1482	85	11	4147	29
1483	85	34	2733	28
1484	85	33	2625	23
1485	85	26	500	39
1486	85	4	4627	28
1487	85	30	846	21
1488	85	28	3013	21
1489	85	15	529	35
1490	85	25	1838	30
1491	85	8	1941	38
1492	85	24	4921	23
1493	85	19	2566	31
1494	86	14	2253	27
1495	86	23	3480	21
1496	86	9	534	38
1497	86	21	2549	39
1498	86	1	4687	34
1499	86	7	2615	37
1500	86	34	3299	29
1501	86	17	1329	26
1502	86	29	1218	34
1503	86	30	1873	21
1504	86	2	2271	21
1505	86	10	4680	38
1506	86	15	2486	36
1507	86	26	2935	40
1508	86	22	4663	31
1509	86	33	3559	39
1510	86	3	3221	25
1511	86	13	3969	32
1512	86	5	695	21
1513	86	11	3717	35
1514	86	25	3550	29
1515	87	32	3585	28
1516	87	34	2605	26
1517	87	16	4509	21
1518	87	15	626	37
1519	87	11	1196	37
1520	87	19	659	31
1521	87	5	3312	34
1522	87	30	4439	26
1523	87	24	2519	26
1524	87	33	2418	38
1525	87	13	2579	33
1526	87	23	3164	27
1527	88	30	3183	40
1528	88	7	745	29
1529	88	13	3520	34
1530	88	1	531	27
1531	88	8	1481	23
1532	88	28	2116	25
1533	88	21	1628	32
1534	88	16	963	26
1535	88	10	4738	38
1536	88	20	1556	23
1537	88	11	1493	29
1538	88	27	4402	28
1539	88	17	606	22
1540	88	31	2985	34
1541	88	24	580	37
1542	88	32	847	29
1543	88	23	1998	31
1544	88	29	1044	38
1545	89	25	1135	23
1546	89	13	3484	30
1547	89	15	1382	39
1548	89	24	3697	30
1549	89	6	2270	25
1550	89	11	3681	27
1551	89	23	3580	33
1552	89	16	1145	20
1553	89	18	3788	31
1554	89	22	2002	32
1555	89	4	4760	31
1556	89	20	555	36
1557	89	34	2472	34
1558	89	30	4149	27
1559	89	33	3313	40
1560	89	32	1276	40
1561	89	10	4649	27
1562	89	27	3681	29
1563	89	3	1624	34
1564	90	23	4480	28
1565	90	20	3259	38
1566	90	30	4441	30
1567	90	7	3357	39
1568	90	4	1526	33
1569	90	18	900	36
1570	90	29	1712	27
1571	90	31	3754	25
1572	90	12	2422	40
1573	90	11	4672	21
1574	90	9	4776	21
1575	90	33	3883	33
1576	90	1	3518	33
1577	90	22	4245	38
1578	90	10	1942	30
1579	90	34	1271	20
1580	90	32	2270	40
1581	90	24	1898	31
1582	90	6	2017	20
1583	90	14	708	28
1584	91	11	4927	20
1585	91	14	3128	21
1586	91	25	4462	21
1587	91	4	3875	31
1588	91	23	1181	39
1589	91	3	856	29
1590	91	31	4294	36
1591	91	28	4521	40
1592	91	21	2824	25
1593	91	1	1417	21
1594	91	32	4980	26
1595	91	15	4569	26
1596	91	29	3838	26
1597	92	3	1241	39
1598	92	22	2399	31
1599	92	29	2892	33
1600	92	1	1267	23
1601	92	32	3450	36
1602	92	6	2959	38
1603	92	11	2031	37
1604	92	5	2499	27
1605	92	27	4410	32
1606	92	9	1071	25
1607	92	2	1221	38
1608	92	30	1976	21
1609	92	21	3045	40
1610	92	23	2445	35
1611	92	28	1026	23
1612	92	15	1100	34
1613	92	4	4823	31
1614	93	25	2511	38
1615	93	30	3882	28
1616	93	23	4036	37
1617	93	2	4165	29
1618	93	5	4662	22
1619	93	18	1396	34
1620	93	13	4133	29
1621	93	15	1482	22
1622	93	32	3037	37
1623	93	3	2612	24
1624	93	6	2866	25
1625	93	22	2561	31
1626	93	21	1380	32
1627	93	16	4444	39
1628	93	24	3323	35
1629	93	28	2181	39
1630	94	6	4685	24
1631	94	28	688	28
1632	94	3	625	33
1633	94	30	1765	29
1634	94	2	593	38
1635	94	26	2614	27
1636	94	10	612	25
1637	94	16	1869	34
1638	94	15	3043	39
1639	94	7	1923	23
1640	94	32	3763	36
1641	94	13	3277	30
1642	94	33	4386	36
1643	94	27	1628	24
1644	94	11	4899	25
1645	94	24	1210	28
1646	94	8	1930	33
1647	95	31	1992	38
1648	95	6	2741	34
1649	95	8	4369	36
1650	95	17	2828	23
1651	95	12	3498	27
1652	95	21	1323	26
1653	95	14	4332	26
1654	95	22	4439	35
1655	95	3	4291	40
1656	95	34	2780	38
1657	95	7	3822	25
1658	95	5	1728	38
1659	95	11	2641	27
1660	95	23	2714	38
1661	95	24	4005	35
1662	95	18	4006	40
1663	95	20	2632	36
1664	95	4	1478	39
1665	95	1	4466	29
1666	95	27	1131	27
1667	95	26	4559	23
1668	96	7	2842	25
1669	96	10	4200	29
1670	96	14	2528	23
1671	96	3	2704	27
1672	96	1	3581	38
1673	96	19	1400	38
1674	96	16	4223	21
1675	96	22	2491	30
1676	96	15	555	32
1677	96	30	3540	20
1678	96	18	3210	34
1679	96	20	4609	31
1680	96	8	1821	27
1681	96	5	4304	38
1682	96	26	2042	24
1683	96	27	799	31
1684	96	33	1118	35
1685	97	16	3608	33
1686	97	9	2793	26
1687	97	6	1069	39
1688	97	8	1639	31
1689	97	17	2876	25
1690	97	27	3030	40
1691	97	22	4135	31
1692	97	32	1321	33
1693	97	19	3067	37
1694	97	20	4552	29
1695	97	1	1334	30
1696	97	23	3348	30
1697	97	4	3153	29
1698	97	14	3404	29
1699	97	25	548	27
1700	97	30	1786	23
1701	97	5	2140	20
1702	97	33	1040	21
1703	98	31	4906	37
1704	98	7	4271	27
1705	98	13	1899	33
1706	98	20	2769	32
1707	98	15	3484	38
1708	98	23	2505	23
1709	98	8	1145	20
1710	98	11	2031	37
1711	98	6	851	26
1712	98	26	4801	39
1713	98	30	4185	28
1714	98	9	4644	28
1715	98	10	1316	40
1716	98	34	899	26
1717	98	21	1324	25
1718	98	2	1033	32
1719	98	33	3792	24
1720	98	27	827	35
1721	99	15	1192	28
1722	99	20	1742	38
1723	99	22	1376	28
1724	99	28	715	38
1725	99	5	4234	40
1726	99	19	3163	40
1727	99	27	530	35
1728	99	23	4955	38
1729	99	13	867	21
1730	99	7	1323	32
1731	99	29	2325	31
1732	99	24	4893	28
1733	99	25	2465	21
1734	99	32	1223	28
1735	99	8	2799	32
1736	99	1	4792	22
1737	99	10	1517	25
1738	99	18	3663	22
1739	99	14	1994	26
1740	99	34	2772	26
1741	99	21	2155	35
1742	100	33	3312	30
1743	100	28	3115	29
1744	100	30	2846	22
1745	100	27	4569	25
1746	100	29	1690	24
1747	100	17	2196	40
1748	100	14	2854	33
1749	100	7	3026	30
1750	100	25	1504	25
1751	100	5	3733	22
1752	100	32	4765	40
1753	100	8	1920	25
1754	101	12	2831	34
1755	101	9	2344	32
1756	101	16	1547	38
1757	101	28	3360	24
1758	101	32	2296	31
1759	101	4	3661	38
1760	101	3	3635	33
1761	101	14	2484	21
1762	101	30	3534	24
1763	101	24	3798	37
1764	101	26	4106	36
1765	101	15	4599	24
1766	101	7	1104	25
1767	101	31	3124	30
1768	101	1	3523	34
1769	101	21	3067	20
1770	101	13	2392	36
1771	102	19	1661	27
1772	102	26	763	33
1773	102	23	1080	28
1774	102	2	2802	36
1775	102	34	2513	36
1776	102	8	1361	39
1777	102	27	1683	31
1778	102	6	2103	38
1779	102	1	4907	20
1780	102	22	1667	20
1781	102	32	3733	24
1782	102	7	4740	23
1783	102	21	2636	31
1784	102	4	2193	24
1785	102	20	1568	40
1786	102	28	2714	22
1787	102	15	4944	34
1788	102	13	603	27
1789	102	18	4555	32
1790	102	16	4660	31
1791	102	17	1761	20
1792	103	21	3263	29
1793	103	13	3883	29
1794	103	30	857	40
1795	103	17	1681	20
1796	103	6	4257	25
1797	103	7	1223	26
1798	103	9	2760	26
1799	103	5	1499	40
1800	103	18	3098	36
1801	103	4	1822	31
1802	103	12	2169	30
1803	103	33	3695	35
1804	103	10	2305	21
1805	103	19	3308	24
1806	104	19	1739	29
1807	104	21	2694	37
1808	104	15	3647	36
1809	104	31	1928	37
1810	104	2	1275	21
1811	104	32	1152	29
1812	104	33	3362	40
1813	104	16	4842	23
1814	104	4	1285	29
1815	104	29	3233	39
1816	104	27	3787	25
1817	104	30	4822	29
1818	104	10	4063	23
1819	104	5	3752	39
1820	104	28	4787	24
1821	104	24	3415	28
1822	104	3	2576	31
1823	105	27	2472	27
1824	105	23	1404	36
1825	105	7	4599	36
1826	105	12	4585	34
1827	105	2	3589	36
1828	105	22	2160	36
1829	105	21	4803	27
1830	105	5	2210	26
1831	105	31	4695	27
1832	105	11	3100	38
1833	105	3	539	25
1834	105	8	984	22
1835	105	25	1746	39
1836	105	10	1273	33
1837	105	26	1885	25
1838	106	18	1760	26
1839	106	14	2442	36
1840	106	33	2196	20
1841	106	5	2285	31
1842	106	16	3625	25
1843	106	25	2997	37
1844	106	6	3264	20
1845	106	20	4611	38
1846	106	29	3785	22
1847	106	15	2305	26
1848	106	13	1953	34
1849	106	19	4125	24
1850	106	12	958	38
1851	106	21	1953	26
1852	106	28	626	37
1853	106	11	4139	32
1854	106	27	4922	35
1855	107	8	4688	21
1856	107	31	4784	37
1857	107	34	4551	29
1858	107	11	3370	37
1859	107	5	2639	30
1860	107	10	673	39
1861	107	22	1482	22
1862	107	2	2210	23
1863	107	20	4034	39
1864	107	1	3939	37
1865	107	21	3123	23
1866	107	19	3876	26
1867	107	17	3577	25
1868	107	14	4749	30
1869	107	27	582	27
1870	107	9	2493	31
1871	107	6	1033	31
1872	107	13	2105	39
1873	107	4	2222	32
1874	108	32	3853	39
1875	108	12	3584	25
1876	108	23	4031	23
1877	108	13	2222	28
1878	108	20	3771	22
1879	108	6	2874	24
1880	108	1	1277	38
1881	108	26	4915	20
1882	108	16	4774	35
1883	108	14	4131	34
1884	108	2	1026	40
1885	108	18	740	31
1886	108	19	4486	20
1887	108	4	2835	40
1888	108	10	529	27
1889	108	3	2397	21
1890	108	27	3032	33
1891	108	15	525	21
1892	108	17	1031	23
1893	108	9	1059	38
1894	109	26	3270	34
1895	109	20	2549	37
1896	109	34	3862	22
1897	109	25	2372	35
1898	109	16	4687	39
1899	109	21	4647	29
1900	109	24	2241	39
1901	109	31	1704	27
1902	109	4	4731	38
1903	109	29	3687	38
1904	109	33	3303	32
1905	109	19	3272	30
1906	109	13	2716	40
1907	109	18	4391	32
1908	110	27	4613	40
1909	110	11	4719	34
1910	110	4	3984	34
1911	110	33	3336	31
1912	110	31	1412	34
1913	110	29	1985	22
1914	110	21	2965	22
1915	110	24	3520	22
1916	110	13	992	20
1917	110	17	3199	22
1918	110	9	744	40
1919	110	23	2006	29
1920	110	12	2573	22
1921	110	15	2034	35
1922	110	19	817	23
1923	110	18	3248	26
1924	110	5	3596	33
1925	110	2	1201	39
1926	110	30	3997	25
1927	110	16	2737	40
1928	110	3	1267	29
1929	111	10	1198	23
1930	111	26	3788	23
1931	111	34	858	35
1932	111	11	4863	29
1933	111	30	1154	28
1934	111	3	4188	22
1935	111	24	3396	25
1936	111	15	4637	25
1937	111	31	4574	20
1938	111	29	4725	35
1939	111	12	1870	26
1940	111	22	1585	29
1941	111	23	1308	33
1942	111	19	2043	40
1943	111	33	4225	31
1944	111	32	3320	28
1945	112	30	4150	26
1946	112	25	1712	36
1947	112	29	3112	30
1948	112	18	1250	35
1949	112	7	2381	34
1950	112	11	2249	28
1951	112	21	4927	39
1952	112	31	4360	37
1953	112	13	1642	36
1954	112	26	2396	38
1955	112	14	675	25
1956	112	15	2730	22
1957	112	33	658	28
1958	112	27	3558	20
1959	112	34	2837	40
1960	112	1	2744	21
1961	112	22	2342	28
1962	113	8	2189	23
1963	113	2	3650	34
1964	113	31	3658	36
1965	113	6	933	24
1966	113	34	4690	33
1967	113	7	2788	40
1968	113	30	1097	23
1969	113	29	4815	37
1970	113	5	619	28
1971	113	24	523	29
1972	113	1	3660	38
1973	113	28	4269	31
1974	113	16	1154	27
1975	113	9	920	35
1976	113	15	971	25
1977	113	19	2702	30
1978	113	4	2028	26
1979	113	32	2826	32
1980	113	10	4552	24
1981	113	25	3508	23
1982	113	20	850	24
1983	113	12	3684	22
1984	114	15	1477	29
1985	114	30	1007	29
1986	114	34	2979	20
1987	114	7	3329	37
1988	114	9	4472	24
1989	114	4	2792	27
1990	114	5	4248	29
1991	114	26	1603	29
1992	114	27	1184	30
1993	114	28	2108	33
1994	114	14	1598	23
1995	114	13	1054	25
1996	114	16	3187	21
1997	114	23	4989	35
1998	114	8	3033	28
1999	115	17	4399	40
2000	115	28	3851	32
2001	115	11	3824	32
2002	115	5	2635	33
2003	115	7	3050	30
2004	115	13	3951	36
2005	115	14	4404	35
2006	115	6	1407	22
2007	115	22	3422	34
2008	115	30	696	29
2009	115	21	1795	23
2010	115	9	3091	40
2011	115	2	2575	23
2012	115	23	4008	26
2013	115	33	1409	33
2014	116	2	4209	35
2015	116	34	1117	22
2016	116	25	937	40
2017	116	29	3334	27
2018	116	1	513	24
2019	116	23	3586	26
2020	116	5	2700	34
2021	116	28	730	25
2022	116	11	4258	29
2023	116	7	3345	33
2024	116	32	696	28
2025	116	20	4800	36
2026	116	3	2440	32
2027	116	12	4688	21
2028	117	6	2046	21
2029	117	5	721	21
2030	117	2	3941	27
2031	117	15	3749	28
2032	117	26	4228	30
2033	117	30	4169	24
2034	117	23	4874	36
2035	117	32	4024	26
2036	117	4	1760	23
2037	117	20	983	22
2038	117	1	4178	29
2039	117	8	1122	23
2040	117	17	2332	28
2041	117	31	2346	27
2042	117	33	622	25
2043	118	28	1947	22
2044	118	10	2834	20
2045	118	17	2771	38
2046	118	34	4030	27
2047	118	22	1554	30
2048	118	23	3755	35
2049	118	1	1018	20
2050	118	24	1804	30
2051	118	16	3489	35
2052	118	11	4742	25
2053	118	7	4668	26
2054	119	22	2122	28
2055	119	10	4816	35
2056	119	27	4428	26
2057	119	5	1826	34
2058	119	4	2315	37
2059	119	18	786	31
2060	119	25	3634	22
2061	119	8	4548	40
2062	119	32	4746	30
2063	119	15	3389	29
2064	119	1	3962	21
2065	119	13	1279	28
2066	119	31	3972	27
2067	119	9	1974	38
2068	119	12	983	35
2069	119	30	2811	38
2070	120	21	2735	35
2071	120	9	3845	26
2072	120	29	2761	38
2073	120	11	3419	38
2074	120	17	3623	39
2075	120	2	1080	28
2076	120	30	3622	26
2077	120	13	682	38
2078	120	5	3525	36
2079	120	15	635	36
2080	120	14	4744	21
2081	120	10	4584	21
2082	120	1	3963	21
2083	120	24	788	35
2084	120	3	4009	37
2085	120	23	1224	25
2086	120	8	2836	26
2087	120	33	3094	36
2088	120	20	920	23
2089	120	22	1878	25
2090	120	27	2160	24
2091	121	4	1366	20
2092	121	7	3494	28
2093	121	15	4444	35
2094	121	5	1151	34
2095	121	28	4546	30
2096	121	16	2455	30
2097	121	24	2364	25
2098	121	18	4352	24
2099	121	33	645	28
2100	121	13	2240	30
2101	121	20	2968	39
2102	121	31	3962	28
2103	121	17	854	25
2104	122	20	553	21
2105	122	9	4803	21
2106	122	16	1917	29
2107	122	26	512	40
2108	122	3	3921	35
2109	122	2	3740	28
2110	122	28	3092	26
2111	122	7	1045	22
2112	122	22	2145	20
2113	122	18	1623	34
2114	122	4	4585	27
2115	122	30	733	39
2116	122	29	1663	23
2117	122	12	4730	30
2118	122	24	3024	35
2119	122	5	3592	25
2120	123	15	3911	31
2121	123	8	1592	23
2122	123	4	645	26
2123	123	17	1863	30
2124	123	12	2206	31
2125	123	10	2442	32
2126	123	21	1622	39
2127	123	11	4831	36
2128	123	28	4396	29
2129	123	23	3291	26
2130	123	25	1991	36
2131	123	1	4045	38
2132	123	7	996	32
2133	123	13	1631	29
2134	124	17	1496	39
2135	124	2	4937	33
2136	124	34	1106	33
2137	124	27	4070	32
2138	124	19	2300	20
2139	124	6	1018	23
2140	124	28	4243	28
2141	124	22	3387	35
2142	124	1	1757	35
2143	124	33	4008	33
2144	124	5	4918	24
2145	124	14	523	25
2146	124	9	3254	30
2147	124	15	4987	30
2148	124	26	1462	32
2149	124	30	2348	25
2150	124	8	4386	37
2151	124	4	963	34
2152	124	25	3038	26
2153	124	12	3646	37
2154	124	13	4154	25
2155	124	3	2651	27
2156	125	57	12006	99
2157	125	74	16963	85
2158	125	54	8331	77
2159	125	48	5375	70
2160	125	66	5503	83
2161	125	75	6491	99
2162	125	69	20971	52
2163	125	53	12006	58
2164	125	77	15506	94
2165	125	78	13830	71
2166	125	60	14726	66
2167	125	44	22805	55
2168	125	73	24462	75
2169	125	39	16052	85
2170	125	50	19775	92
2171	125	45	24792	50
2172	125	80	19654	59
2173	125	35	19494	77
2174	125	59	6602	91
2175	126	41	19921	53
2176	126	67	12034	58
2177	126	53	13025	73
2178	126	42	10113	81
2179	126	46	20804	57
2180	126	37	15011	82
2181	126	75	5337	68
2182	126	38	5966	64
2183	126	57	16770	70
2184	126	35	11484	94
2185	126	55	23074	54
2186	126	56	22874	76
2187	126	54	20794	85
2188	126	71	18276	76
2189	126	45	8730	74
2190	126	79	16158	84
2191	127	56	16419	52
2192	127	72	6184	86
2193	127	49	9260	96
2194	127	38	23737	73
2195	127	71	20419	55
2196	127	45	12588	86
2197	127	55	16135	97
2198	127	65	16447	94
2199	127	46	18222	86
2200	127	57	22145	91
2201	127	59	18872	85
2202	127	62	21856	97
2203	127	69	5014	93
2204	127	74	6318	69
2205	127	51	19713	92
2206	127	43	10987	82
2207	127	54	15561	81
2208	127	75	24860	56
2209	127	52	13602	59
2210	127	47	5099	75
2211	128	74	22003	70
2212	128	37	11266	87
2213	128	36	20689	81
2214	128	46	16684	94
2215	128	60	7026	78
2216	128	48	18272	86
2217	128	44	11778	77
2218	128	64	15739	85
2219	128	62	21248	67
2220	128	54	15628	50
2221	128	73	15509	80
2222	128	61	13090	57
2223	128	80	10090	50
2224	128	66	19680	59
2225	128	78	20620	74
2226	128	43	5601	80
2227	128	57	15849	83
2228	128	67	20393	65
2229	128	77	16371	75
2230	128	56	13376	76
2231	128	49	15853	53
2232	129	75	18113	59
2233	129	72	15510	58
2234	129	67	9640	50
2235	129	49	20659	93
2236	129	77	9010	92
2237	129	73	21437	96
2238	129	80	21625	63
2239	129	41	23748	72
2240	129	57	23400	82
2241	129	59	17004	55
2242	129	64	13758	82
2243	129	69	10765	67
2244	129	61	5868	55
2245	129	53	9690	66
2246	129	60	18631	53
2247	129	70	9610	95
2248	129	79	21215	100
2249	129	76	24367	75
2250	129	48	24203	70
2251	129	78	15342	69
2252	129	39	13452	65
2253	129	44	24661	73
2254	129	37	13715	98
2255	129	38	16795	89
2256	130	35	8735	99
2257	130	37	10314	63
2258	130	52	7685	67
2259	130	63	21201	99
2260	130	39	21565	62
2261	130	50	21632	87
2262	130	64	5579	64
2263	130	45	15469	60
2264	130	61	15445	96
2265	130	68	7508	72
2266	130	80	10328	88
2267	130	67	20873	68
2268	130	53	5359	80
2269	130	46	12280	91
2270	130	38	14553	51
2271	130	71	23361	61
2272	130	77	16699	56
2273	130	41	9918	80
2274	131	61	15390	95
2275	131	70	16292	73
2276	131	46	23800	99
2277	131	62	6651	50
2278	131	40	5416	95
2279	131	52	24039	52
2280	131	44	23478	90
2281	131	73	6598	86
2282	131	80	6213	70
2283	131	50	10824	84
2284	131	78	22825	88
2285	131	47	17275	67
2286	131	38	15816	84
2287	131	51	6016	56
2288	131	72	14177	96
2289	131	66	12503	68
2290	131	65	17780	89
2291	131	49	14938	98
2292	131	55	10977	70
2293	131	37	5751	83
2294	131	54	23315	68
2295	131	77	24078	96
2296	131	39	24589	95
2297	131	36	19538	62
2298	132	44	19441	94
2299	132	74	24261	58
2300	132	40	19523	50
2301	132	57	10847	98
2302	132	69	13785	66
2303	132	45	12373	87
2304	132	62	18468	61
2305	132	37	14200	95
2306	132	35	22158	89
2307	132	72	23532	66
2308	132	60	21061	57
2309	132	65	22006	99
2310	132	77	17198	59
2311	132	46	9199	52
2312	132	50	12952	77
2313	132	63	15813	81
2314	132	70	13681	66
2315	132	71	7150	56
2316	132	79	22106	59
2317	132	75	17437	50
2318	132	48	22363	86
2319	132	59	14799	87
2320	133	73	21655	63
2321	133	63	19844	72
2322	133	58	7738	59
2323	133	46	22960	52
2324	133	54	5180	95
2325	133	55	20082	85
2326	133	52	11331	86
2327	133	76	8695	75
2328	133	35	15439	78
2329	133	40	16521	79
2330	133	67	8379	95
2331	133	77	24305	82
2332	133	51	9771	95
2333	133	61	8686	71
2334	133	68	16678	56
2335	133	75	17286	65
2336	133	50	20829	68
2337	133	56	22551	66
2338	133	70	21149	58
2339	133	49	14860	78
2340	133	53	24345	84
2341	133	36	23376	61
2342	134	44	23442	75
2343	134	39	15321	90
2344	134	42	11966	82
2345	134	35	8021	73
2346	134	53	15818	68
2347	134	49	5453	95
2348	134	41	24719	65
2349	134	47	8881	84
2350	134	48	13432	57
2351	134	36	10446	62
2352	134	74	16762	76
2353	134	78	14894	52
2354	134	50	9271	67
2355	134	54	15172	94
2356	134	46	20541	97
2357	134	70	15812	73
2358	134	55	7447	86
2359	135	49	5168	53
2360	135	61	18669	94
2361	135	67	19323	72
2362	135	71	15081	87
2363	135	63	23983	59
2364	135	55	14838	87
2365	135	74	6424	82
2366	135	65	10660	68
2367	135	72	7305	76
2368	135	52	23068	98
2369	135	79	13814	61
2370	135	37	11160	95
2371	135	36	15803	86
2372	136	62	7100	76
2373	136	69	17997	81
2374	136	53	6828	63
2375	136	65	19521	66
2376	136	38	16206	63
2377	136	66	13930	67
2378	136	59	12060	67
2379	136	42	22349	62
2380	136	60	15063	62
2381	136	44	17697	53
2382	136	61	24399	93
2383	136	67	22882	55
2384	136	75	23531	74
2385	136	71	18362	69
2386	136	41	17381	88
2387	136	40	22863	91
2388	136	72	9526	99
2389	136	47	18472	81
2390	136	37	9052	71
2391	137	51	14560	86
2392	137	38	7878	64
2393	137	69	6334	79
2394	137	71	21567	70
2395	137	54	6349	91
2396	137	44	13819	73
2397	137	68	21904	68
2398	137	67	16160	72
2399	137	36	6300	97
2400	137	45	8181	50
2401	137	60	14019	64
2402	137	80	22040	64
2403	137	72	20418	75
2404	137	59	7388	61
2405	137	56	10499	95
2406	137	74	11090	88
2407	137	70	17907	68
2408	137	61	24603	88
2409	137	77	11049	55
2410	137	37	7715	63
2411	137	63	17214	76
2412	137	79	11874	96
2413	137	75	20766	77
2414	137	39	23115	68
2415	137	62	16417	51
2416	138	79	14546	55
2417	138	50	5900	97
2418	138	62	12804	83
2419	138	69	11104	80
2420	138	64	17923	51
2421	138	70	18661	71
2422	138	53	21806	91
2423	138	68	17750	97
2424	138	35	8048	56
2425	138	60	7422	70
2426	138	75	6279	85
2427	138	39	20604	60
2428	138	63	17372	65
