s_no	u_no	f_no	s_date	s_quantity
886	99	2677	2022-03-20	2
887	103	2370	2022-03-20	5
888	118	4288	2022-03-20	6
889	153	1425	2022-03-20	1
890	172	1319	2022-03-20	1
891	177	1765	2022-03-20	8
892	197	234	2022-03-20	4
893	218	528	2022-03-20	6
894	4	2917	2022-03-21	7
895	37	4092	2022-03-21	4
896	44	3214	2022-03-21	6
897	55	3018	2022-03-21	1
898	68	3060	2022-03-21	10
899	94	3630	2022-03-21	2
900	98	2892	2022-03-21	2
901	99	4103	2022-03-21	3
902	132	471	2022-03-21	5
903	135	1119	2022-03-21	1
904	149	1530	2022-03-21	10
905	163	782	2022-03-21	7
906	170	1019	2022-03-21	8
907	173	1936	2022-03-21	10
908	184	1389	2022-03-21	3
909	188	73	2022-03-21	6
910	190	1663	2022-03-21	6
911	216	103	2022-03-21	9
912	217	761	2022-03-21	8
913	8	3437	2022-03-22	8
914	48	2660	2022-03-22	10
915	70	4361	2022-03-22	10
916	72	2200	2022-03-22	9
917	128	59	2022-03-22	2
918	148	742	2022-03-22	10
919	173	2063	2022-03-22	8
920	2	2459	2022-03-23	1
921	46	4379	2022-03-23	7
922	55	3965	2022-03-23	4
923	57	3822	2022-03-23	6
924	59	3845	2022-03-23	6
925	108	3097	2022-03-23	2
926	113	2754	2022-03-23	1
927	131	815	2022-03-23	8
928	136	1800	2022-03-23	2
929	149	706	2022-03-23	5
930	175	2075	2022-03-23	10
931	180	180	2022-03-23	9
932	214	1332	2022-03-23	1
933	223	1361	2022-03-23	1
934	16	2422	2022-03-24	8
935	25	2637	2022-03-24	10
936	36	2964	2022-03-24	6
937	119	4326	2022-03-24	10
938	138	331	2022-03-24	6
939	203	573	2022-03-24	10
940	217	1015	2022-03-24	10
941	27	4247	2022-03-25	1
942	37	3142	2022-03-25	5
943	57	3254	2022-03-25	6
944	65	2834	2022-03-25	7
945	104	2537	2022-03-25	1
946	116	3249	2022-03-25	10
947	119	3304	2022-03-25	3
948	119	3963	2022-03-25	1
949	150	371	2022-03-25	3
950	155	1758	2022-03-25	5
951	157	1471	2022-03-25	5
952	170	668	2022-03-25	6
953	180	1809	2022-03-25	4
954	28	4299	2022-03-26	1
955	32	2485	2022-03-26	1
956	61	3229	2022-03-26	3
957	61	3750	2022-03-26	4
958	68	3861	2022-03-26	5
959	76	4270	2022-03-26	3
960	139	1407	2022-03-26	7
961	176	532	2022-03-26	5
962	177	2128	2022-03-26	10
963	202	167	2022-03-26	8
964	224	128	2022-03-26	7
965	28	3131	2022-03-27	9
966	92	3356	2022-03-27	3
967	93	4289	2022-03-27	8
968	96	3752	2022-03-27	7
969	115	2307	2022-03-27	2
970	116	4256	2022-03-27	8
971	125	1876	2022-03-27	3
972	149	1253	2022-03-27	7
973	173	2152	2022-03-27	2
974	210	1895	2022-03-27	8
975	9	3620	2022-03-28	9
976	13	2308	2022-03-28	1
977	25	3266	2022-03-28	4
978	40	2162	2022-03-28	10
979	43	2462	2022-03-28	7
980	52	3629	2022-03-28	1
981	103	3176	2022-03-28	10
982	129	812	2022-03-28	8
983	134	301	2022-03-28	2
984	184	1691	2022-03-28	1
985	221	1331	2022-03-28	5
986	224	1487	2022-03-28	9
987	9	4097	2022-03-29	9
988	34	2410	2022-03-29	7
989	38	3745	2022-03-29	5
990	65	2492	2022-03-29	6
991	73	2627	2022-03-29	6
992	74	3804	2022-03-29	10
993	81	3133	2022-03-29	7
994	89	2382	2022-03-29	10
995	90	3917	2022-03-29	1
996	113	2690	2022-03-29	2
997	180	2011	2022-03-29	2
998	193	629	2022-03-29	9
999	43	3440	2022-03-30	9
1000	57	3080	2022-03-30	1
1001	62	3522	2022-03-30	7
1002	88	2655	2022-03-30	7
1003	135	1126	2022-03-30	2
1004	150	999	2022-03-30	3
1005	179	838	2022-03-30	6
1006	181	1495	2022-03-30	7
1007	190	974	2022-03-30	10
1008	219	1215	2022-03-30	9
1009	228	446	2022-03-30	7
1010	229	1356	2022-03-30	10
1011	17	3336	2022-03-31	1
1012	22	3709	2022-03-31	6
1013	50	2916	2022-03-31	1
1014	54	3504	2022-03-31	9
1015	81	3683	2022-03-31	6
1016	85	2236	2022-03-31	10
1017	91	2318	2022-03-31	4
1018	95	4133	2022-03-31	5
1019	98	4253	2022-03-31	8
1020	108	3368	2022-03-31	7
1021	113	3968	2022-03-31	7
1022	114	3476	2022-03-31	6
1023	121	4151	2022-03-31	1
1024	124	2408	2022-03-31	8
1025	164	1212	2022-03-31	7
1026	172	1334	2022-03-31	9
1027	7	4360	2022-04-01	9
1028	18	3767	2022-04-01	7
1029	89	2803	2022-04-01	4
1030	90	2622	2022-04-01	6
1031	94	2941	2022-04-01	3
1032	96	3879	2022-04-01	8
1033	107	3151	2022-04-01	9
1034	111	4159	2022-04-01	9
1035	114	3422	2022-04-01	1
1036	130	407	2022-04-01	4
1037	172	179	2022-04-01	5
1038	203	274	2022-04-01	7
1039	21	3266	2022-04-02	4
1040	52	3193	2022-04-02	3
1041	53	4046	2022-04-02	6
1042	81	4060	2022-04-02	8
1043	104	4315	2022-04-02	6
1044	129	1650	2022-04-02	6
1045	156	1738	2022-04-02	10
1046	181	892	2022-04-02	1
1047	2	4195	2022-04-03	1
1048	12	2598	2022-04-03	5
1049	34	3442	2022-04-03	6
1050	57	2456	2022-04-03	6
1051	89	2909	2022-04-03	8
1052	105	2592	2022-04-03	2
1053	115	2806	2022-04-03	1
1054	166	2046	2022-04-03	3
1055	189	388	2022-04-03	8
1056	191	2068	2022-04-03	3
1057	202	730	2022-04-03	5
1058	15	4340	2022-04-04	5
1059	41	2536	2022-04-04	2
1060	67	2427	2022-04-04	2
1061	72	4215	2022-04-04	6
1062	77	4303	2022-04-04	8
1063	80	2632	2022-04-04	6
1064	112	3640	2022-04-04	5
1065	128	759	2022-04-04	1
1066	136	1346	2022-04-04	5
1067	153	1587	2022-04-04	4
1068	178	1131	2022-04-04	9
1069	194	1964	2022-04-04	5
1070	204	1539	2022-04-04	1
1071	207	1490	2022-04-04	8
1072	42	4093	2022-04-05	7
1073	56	3286	2022-04-05	1
1074	66	3968	2022-04-05	7
1075	79	2920	2022-04-05	5
1076	102	3582	2022-04-05	1
1077	149	377	2022-04-05	8
1078	210	522	2022-04-05	3
1079	14	4250	2022-04-06	4
1080	30	3394	2022-04-06	7
1081	107	2716	2022-04-06	6
1082	128	1454	2022-04-06	7
1083	209	1489	2022-04-06	4
1084	215	440	2022-04-06	9
1085	219	1691	2022-04-06	9
1086	30	3871	2022-04-07	8
1087	72	3687	2022-04-07	9
1088	77	3731	2022-04-07	5
1089	97	2197	2022-04-07	8
1090	123	2634	2022-04-07	4
1091	134	887	2022-04-07	10
1092	136	535	2022-04-07	8
1093	170	1655	2022-04-07	10
1094	173	817	2022-04-07	6
1095	181	207	2022-04-07	10
1096	194	1592	2022-04-07	5
1097	217	1427	2022-04-07	10
1098	6	3922	2022-04-08	9
1099	11	2488	2022-04-08	9
1100	29	2954	2022-04-08	4
1101	29	3180	2022-04-08	2
1102	36	3069	2022-04-08	7
1103	75	2780	2022-04-08	2
1104	124	4190	2022-04-08	8
1105	139	1574	2022-04-08	1
1106	146	1058	2022-04-08	8
1107	163	1300	2022-04-08	5
1108	173	382	2022-04-08	4
1109	215	1265	2022-04-08	10
1110	221	1267	2022-04-08	2
1111	2	2521	2022-04-09	8
1112	9	3024	2022-04-09	5
1113	21	2963	2022-04-09	10
1114	74	3407	2022-04-09	4
1115	84	2370	2022-04-09	1
1116	180	965	2022-04-09	8
1117	182	1934	2022-04-09	6
1118	204	1795	2022-04-09	9
1119	205	1670	2022-04-09	8
1120	211	371	2022-04-09	9
1121	4	3852	2022-04-10	2
1122	23	4262	2022-04-10	10
1123	23	4151	2022-04-10	6
1124	40	3086	2022-04-10	9
1125	63	4251	2022-04-10	10
1126	86	2225	2022-04-10	4
1127	95	2449	2022-04-10	10
1128	111	2366	2022-04-10	4
1129	123	2766	2022-04-10	3
1130	142	865	2022-04-10	4
1131	153	630	2022-04-10	3
1132	159	1016	2022-04-10	1
1133	164	710	2022-04-10	8
1134	169	1875	2022-04-10	4
1135	172	1608	2022-04-10	6
1136	183	1913	2022-04-10	1
1137	189	957	2022-04-10	8
1138	195	601	2022-04-10	1
1139	203	1656	2022-04-10	7
1140	229	1090	2022-04-10	4
1141	3	4007	2022-04-11	4
1142	9	3940	2022-04-11	8
1143	62	2769	2022-04-11	8
1144	110	3967	2022-04-11	8
1145	110	2928	2022-04-11	3
1146	111	3751	2022-04-11	4
1147	124	2602	2022-04-11	7
1148	144	1557	2022-04-11	7
1149	156	1228	2022-04-11	5
1150	173	839	2022-04-11	1
1151	198	877	2022-04-11	5
1152	198	44	2022-04-11	4
1153	32	3175	2022-04-12	2
1154	100	4366	2022-04-12	3
1155	118	2312	2022-04-12	8
1156	218	452	2022-04-12	2
1157	46	3438	2022-04-13	3
1158	51	2751	2022-04-13	3
1159	83	2686	2022-04-13	4
1160	91	3441	2022-04-13	4
1161	114	4203	2022-04-13	10
1162	139	751	2022-04-13	4
1163	143	1479	2022-04-13	2
1164	149	1357	2022-04-13	4
1165	218	1369	2022-04-13	10
1166	218	906	2022-04-13	3
1167	18	3546	2022-04-14	6
1168	34	4274	2022-04-14	5
1169	57	2799	2022-04-14	6
1170	66	3317	2022-04-14	1
1171	76	2888	2022-04-14	10
1172	92	3456	2022-04-14	1
1173	125	1755	2022-04-14	5
1174	128	988	2022-04-14	8
1175	199	1699	2022-04-14	8
1176	221	1962	2022-04-14	4
1177	24	2466	2022-04-15	5
1178	74	4057	2022-04-15	9
1179	150	103	2022-04-15	9
1180	177	526	2022-04-15	10
1181	183	1984	2022-04-15	3
1182	208	1645	2022-04-15	8
1183	219	1749	2022-04-15	1
1184	226	798	2022-04-15	4
1185	37	3385	2022-04-16	4
1186	52	3637	2022-04-16	8
1187	52	2350	2022-04-16	2
1188	57	3380	2022-04-16	6
1189	67	4369	2022-04-16	2
1190	75	3800	2022-04-16	3
1191	85	2587	2022-04-16	9
1192	96	4099	2022-04-16	8
1193	99	3054	2022-04-16	5
1194	109	2546	2022-04-16	3
1195	117	2382	2022-04-16	3
1196	124	2656	2022-04-16	4
1197	125	1000	2022-04-16	5
1198	143	1814	2022-04-16	1
1199	161	1312	2022-04-16	9
1200	180	561	2022-04-16	2
1201	188	1137	2022-04-16	3
1202	207	1375	2022-04-16	5
1203	1	3965	2022-04-17	5
1204	14	2166	2022-04-17	9
1205	26	3154	2022-04-17	5
1206	74	2230	2022-04-17	5
1207	89	4095	2022-04-17	10
1208	100	3655	2022-04-17	7
1209	115	3980	2022-04-17	4
1210	128	1173	2022-04-17	4
1211	138	310	2022-04-17	5
1212	142	2148	2022-04-17	6
1213	145	1128	2022-04-17	1
1214	173	1840	2022-04-17	7
1215	177	480	2022-04-17	1
1216	178	1632	2022-04-17	6
1217	179	1579	2022-04-17	8
1218	182	578	2022-04-17	8
1219	25	3286	2022-04-18	4
1220	32	4373	2022-04-18	4
1221	38	4276	2022-04-18	8
1222	50	2157	2022-04-18	1
1223	67	4016	2022-04-18	2
1224	75	3830	2022-04-18	5
1225	105	3392	2022-04-18	8
1226	110	2801	2022-04-18	4
1227	176	1195	2022-04-18	6
1228	185	1611	2022-04-18	6
1229	211	450	2022-04-18	2
1230	212	7	2022-04-18	1
1231	8	2434	2022-04-19	6
1232	47	3508	2022-04-19	4
1233	50	4013	2022-04-19	3
1234	61	2418	2022-04-19	9
1235	80	2698	2022-04-19	7
1236	92	2330	2022-04-19	7
1237	101	3064	2022-04-19	1
1238	177	717	2022-04-19	4
1239	182	294	2022-04-19	5
1240	195	1875	2022-04-19	4
1241	209	518	2022-04-19	4
1242	227	341	2022-04-19	5
1243	19	3393	2022-04-20	6
1244	68	2741	2022-04-20	5
1245	89	2313	2022-04-20	2
1246	142	805	2022-04-20	8
1247	175	1773	2022-04-20	4
1248	211	736	2022-04-20	10
1249	230	1769	2022-04-20	3
1250	95	2398	2022-04-21	6
1251	148	487	2022-04-21	9
1252	150	480	2022-04-21	8
1253	157	1233	2022-04-21	7
1254	160	538	2022-04-21	8
1255	172	797	2022-04-21	2
1256	183	515	2022-04-21	5
1257	7	2653	2022-04-22	7
1258	10	3872	2022-04-22	5
1259	59	4332	2022-04-22	3
1260	60	4053	2022-04-22	7
1261	74	3699	2022-04-22	6
1262	86	4362	2022-04-22	8
1263	87	2689	2022-04-22	9
1264	88	3311	2022-04-22	9
1265	90	2535	2022-04-22	3
1266	118	2573	2022-04-22	8
1267	137	841	2022-04-22	1
1268	144	1691	2022-04-22	3
1269	150	1351	2022-04-22	1
1270	162	1322	2022-04-22	1
1271	212	766	2022-04-22	10
1272	222	564	2022-04-22	7
1273	2	4027	2022-04-23	3
1274	15	2439	2022-04-23	2
1275	36	3540	2022-04-23	8
1276	60	3868	2022-04-23	5
1277	62	2299	2022-04-23	9
1278	97	2381	2022-04-23	2
1279	111	4343	2022-04-23	8
1280	121	2582	2022-04-23	5
1281	165	1217	2022-04-23	5
1282	215	1302	2022-04-23	7
1283	220	407	2022-04-23	4
1284	47	3025	2022-04-24	7
1285	105	2574	2022-04-24	1
1286	122	2349	2022-04-24	10
1287	131	1654	2022-04-24	5
1288	132	955	2022-04-24	5
1289	137	443	2022-04-24	5
1290	143	995	2022-04-24	2
1291	146	1510	2022-04-24	2
1292	168	201	2022-04-24	2
1293	171	1606	2022-04-24	9
1294	176	130	2022-04-24	6
1295	179	390	2022-04-24	1
1296	11	3863	2022-04-25	6
1297	28	2258	2022-04-25	9
1298	57	2695	2022-04-25	5
1299	79	4379	2022-04-25	8
1300	80	3131	2022-04-25	9
1301	125	1888	2022-04-25	7
1302	139	1857	2022-04-25	6
1303	139	1582	2022-04-25	8
1304	149	1718	2022-04-25	9
1305	150	1339	2022-04-25	1
1306	185	2047	2022-04-25	1
1307	188	1844	2022-04-25	2
1308	195	36	2022-04-25	2
1309	209	1163	2022-04-25	3
1310	218	798	2022-04-25	1
1311	68	3530	2022-04-26	10
1312	68	3993	2022-04-26	3
1313	69	3319	2022-04-26	9
1314	90	3790	2022-04-26	8
1315	120	3222	2022-04-26	3
1316	126	1337	2022-04-26	6
1317	128	51	2022-04-26	4
1318	132	617	2022-04-26	10
1319	133	316	2022-04-26	10
1320	146	749	2022-04-26	9
1321	150	1505	2022-04-26	8
1322	151	1294	2022-04-26	5
1323	182	999	2022-04-26	4
1324	208	57	2022-04-26	6
1325	49	3113	2022-04-27	9
1326	107	2919	2022-04-27	7
1327	116	2600	2022-04-27	7
1328	124	3463	2022-04-27	5
1329	142	759	2022-04-27	3
1330	145	462	2022-04-27	5
1331	219	1444	2022-04-27	3
1332	18	3165	2022-04-28	5
1333	69	3637	2022-04-28	8
1334	121	2473	2022-04-28	1
1335	121	4377	2022-04-28	7
1336	127	291	2022-04-28	6
1337	140	21	2022-04-28	2
1338	159	932	2022-04-28	10
1339	159	1132	2022-04-28	6
1340	207	264	2022-04-28	7
1341	222	223	2022-04-28	7
1342	7	3798	2022-04-29	4
1343	18	2298	2022-04-29	7
1344	24	3027	2022-04-29	1
1345	79	3727	2022-04-29	8
1346	89	2269	2022-04-29	6
1347	94	2889	2022-04-29	2
1348	141	313	2022-04-29	9
1349	142	1838	2022-04-29	8
1350	157	767	2022-04-29	6
1351	190	772	2022-04-29	7
1352	193	1603	2022-04-29	6
1353	194	203	2022-04-29	6
1354	30	3212	2022-04-30	6
1355	65	3899	2022-04-30	6
1356	152	1736	2022-04-30	9
1357	154	1745	2022-04-30	1
1358	161	1558	2022-04-30	9
1359	161	1802	2022-04-30	9
1360	10	3061	2022-05-01	1
1361	14	3060	2022-05-01	7
1362	97	2184	2022-05-01	1
1363	119	4042	2022-05-01	2
1364	132	1596	2022-05-01	5
1365	159	857	2022-05-01	7
1366	164	965	2022-05-01	6
1367	180	196	2022-05-01	6
1368	182	2045	2022-05-01	9
1369	185	761	2022-05-01	1
1370	200	1337	2022-05-01	5
1371	209	2092	2022-05-01	6
1372	217	1184	2022-05-01	3
1373	232	596	2022-05-01	7
1374	19	2969	2022-05-02	10
1375	40	3062	2022-05-02	9
1376	54	2469	2022-05-02	4
1377	90	2467	2022-05-02	10
1378	104	3858	2022-05-02	3
1379	109	2962	2022-05-02	5
1380	116	4364	2022-05-02	10
1381	136	332	2022-05-02	10
1382	163	928	2022-05-02	8
1383	165	87	2022-05-02	5
1384	180	1019	2022-05-02	2
1385	205	2121	2022-05-02	6
1386	221	1570	2022-05-02	10
1387	224	862	2022-05-02	4
1388	11	2456	2022-05-03	10
1389	25	3455	2022-05-03	3
1390	41	2195	2022-05-03	2
1391	42	3901	2022-05-03	3
1392	72	3868	2022-05-03	1
1393	85	3627	2022-05-03	8
1394	115	3448	2022-05-03	1
1395	119	3708	2022-05-03	8
1396	155	1193	2022-05-03	4
1397	168	1533	2022-05-03	3
1398	184	1112	2022-05-03	3
1399	196	74	2022-05-03	9
1400	221	1225	2022-05-03	1
1401	13	3139	2022-05-04	1
1402	53	2865	2022-05-04	8
1403	80	4197	2022-05-04	9
1404	88	4015	2022-05-04	5
1405	108	4021	2022-05-04	8
1406	127	1260	2022-05-04	3
1407	136	1419	2022-05-04	4
1408	161	1792	2022-05-04	8
1409	205	1811	2022-05-04	1
1410	20	3806	2022-05-05	1
1411	25	2734	2022-05-05	5
1412	56	3314	2022-05-05	2
1413	79	2966	2022-05-05	9
1414	87	4327	2022-05-05	1
1415	100	4209	2022-05-05	5
1416	147	762	2022-05-05	1
1417	182	1709	2022-05-05	8
1418	230	1355	2022-05-05	5
1419	30	3523	2022-05-06	1
1420	51	4342	2022-05-06	9
1421	61	4063	2022-05-06	8
1422	61	3834	2022-05-06	4
1423	87	2914	2022-05-06	7
1424	89	3631	2022-05-06	7
1425	100	3579	2022-05-06	7
1426	176	1132	2022-05-06	3
1427	181	644	2022-05-06	10
1428	183	673	2022-05-06	1
1429	6	2543	2022-05-07	6
1430	26	2228	2022-05-07	9
1431	44	4163	2022-05-07	1
1432	47	3944	2022-05-07	10
1433	78	4148	2022-05-07	10
1434	177	728	2022-05-07	3
1435	199	1617	2022-05-07	1
1436	205	611	2022-05-07	4
1437	232	1108	2022-05-07	3
1438	28	2955	2022-05-08	7
1439	43	2642	2022-05-08	8
1440	47	3168	2022-05-08	9
1441	145	498	2022-05-08	6
1442	173	967	2022-05-08	4
1443	188	1594	2022-05-08	7
1444	191	2115	2022-05-08	2
1445	219	241	2022-05-08	6
1446	9	4176	2022-05-09	8
1447	10	3718	2022-05-09	2
1448	97	2739	2022-05-09	7
1449	101	2727	2022-05-09	2
1450	104	2183	2022-05-09	7
1451	113	2715	2022-05-09	8
1452	121	2780	2022-05-09	5
1453	130	1185	2022-05-09	2
1454	130	815	2022-05-09	8
1455	137	1607	2022-05-09	3
1456	181	1276	2022-05-09	9
1457	181	757	2022-05-09	6
1458	185	1668	2022-05-09	8
1459	220	353	2022-05-09	8
1460	228	274	2022-05-09	8
1461	19	3485	2022-05-10	5
1462	34	3244	2022-05-10	3
1463	53	3714	2022-05-10	4
1464	68	3078	2022-05-10	1
1465	85	3917	2022-05-10	10
1466	104	3761	2022-05-10	7
1467	105	3552	2022-05-10	10
1468	117	2517	2022-05-10	3
1469	127	1125	2022-05-10	6
1470	142	2004	2022-05-10	6
1471	147	1415	2022-05-10	8
1472	199	1321	2022-05-10	6
1473	213	1818	2022-05-10	4
1474	223	1357	2022-05-10	7
1475	11	3726	2022-05-11	10
1476	33	2957	2022-05-11	10
1477	49	3008	2022-05-11	3
1478	55	2576	2022-05-11	1
1479	79	3259	2022-05-11	5
1480	89	2188	2022-05-11	3
1481	90	2418	2022-05-11	3
1482	96	2270	2022-05-11	7
1483	100	2878	2022-05-11	5
1484	100	2330	2022-05-11	3
1485	125	824	2022-05-11	10
1486	149	1152	2022-05-11	6
1487	150	1616	2022-05-11	9
1488	151	239	2022-05-11	10
1489	183	662	2022-05-11	8
1490	193	596	2022-05-11	7
1491	216	1212	2022-05-11	10
1492	217	953	2022-05-11	1
1493	60	2222	2022-05-12	8
1494	65	3788	2022-05-12	7
1495	86	3648	2022-05-12	5
1496	87	2650	2022-05-12	9
1497	121	2284	2022-05-12	6
1498	192	243	2022-05-12	4
1499	12	3879	2022-05-13	2
1500	19	2534	2022-05-13	9
1501	52	3457	2022-05-13	8
1502	145	720	2022-05-13	5
1503	153	1585	2022-05-13	2
1504	159	206	2022-05-13	10
1505	169	1271	2022-05-13	4
1506	176	919	2022-05-13	1
1507	204	1645	2022-05-13	5
1508	221	1297	2022-05-13	8
1509	3	4340	2022-05-14	7
1510	19	3546	2022-05-14	7
1511	30	4202	2022-05-14	2
1512	49	3898	2022-05-14	1
1513	105	2301	2022-05-14	8
1514	120	3003	2022-05-14	3
1515	130	417	2022-05-14	5
1516	140	1928	2022-05-14	10
1517	143	131	2022-05-14	9
1518	149	2080	2022-05-14	1
1519	165	1978	2022-05-14	6
1520	168	1643	2022-05-14	1
1521	199	315	2022-05-14	6
1522	28	4212	2022-05-15	6
1523	30	2581	2022-05-15	7
1524	57	3515	2022-05-15	1
1525	69	2462	2022-05-15	3
1526	84	3729	2022-05-15	4
1527	137	109	2022-05-15	9
1528	182	719	2022-05-15	1
1529	35	3813	2022-05-16	9
1530	37	2817	2022-05-16	10
1531	49	3992	2022-05-16	1
1532	60	2711	2022-05-16	9
1533	61	3313	2022-05-16	7
1534	80	4120	2022-05-16	4
1535	83	2913	2022-05-16	6
1536	86	3220	2022-05-16	1
1537	106	2981	2022-05-16	1
1538	121	4209	2022-05-16	5
1539	135	188	2022-05-16	6
1540	209	644	2022-05-16	6
1541	227	631	2022-05-16	7
1542	23	3473	2022-05-17	8
1543	56	2671	2022-05-17	3
1544	80	3155	2022-05-17	7
1545	98	3421	2022-05-17	4
1546	109	2964	2022-05-17	8
1547	130	112	2022-05-17	3
1548	213	2052	2022-05-17	1
1549	60	2938	2022-05-18	3
1550	91	2375	2022-05-18	1
1551	108	3659	2022-05-18	8
1552	139	871	2022-05-18	10
1553	141	2038	2022-05-18	4
1554	171	2105	2022-05-18	8
1555	212	859	2022-05-18	2
1556	230	1078	2022-05-18	6
1557	3	2695	2022-05-19	2
1558	5	2329	2022-05-19	2
1559	6	3105	2022-05-19	10
1560	19	2670	2022-05-19	3
1561	67	4267	2022-05-19	2
1562	84	3367	2022-05-19	6
1563	130	797	2022-05-19	10
1564	185	719	2022-05-19	6
1565	206	2002	2022-05-19	2
1566	223	500	2022-05-19	10
1567	12	3648	2022-05-20	8
1568	48	2688	2022-05-20	8
1569	65	2403	2022-05-20	3
1570	70	2884	2022-05-20	10
1571	72	3231	2022-05-20	10
1572	78	2979	2022-05-20	3
1573	79	2724	2022-05-20	10
1574	177	228	2022-05-20	1
1575	192	1957	2022-05-20	1
1576	37	3942	2022-05-21	3
1577	56	3952	2022-05-21	1
1578	69	3312	2022-05-21	1
1579	106	3780	2022-05-21	5
1580	112	3147	2022-05-21	1
1581	140	379	2022-05-21	2
1582	21	3593	2022-05-22	7
1583	34	2777	2022-05-22	8
1584	34	2970	2022-05-22	9
1585	42	3649	2022-05-22	1
1586	49	2384	2022-05-22	9
1587	66	4027	2022-05-22	5
1588	67	4355	2022-05-22	4
1589	104	3171	2022-05-22	4
1590	136	335	2022-05-22	6
1591	147	963	2022-05-22	3
1592	182	2022	2022-05-22	4
1593	211	2109	2022-05-22	3
1594	8	2467	2022-05-23	3
1595	26	3046	2022-05-23	5
1596	53	4182	2022-05-23	8
1597	72	3362	2022-05-23	1
1598	95	3368	2022-05-23	5
1599	111	4317	2022-05-23	8
1600	153	1579	2022-05-23	2
1601	221	6	2022-05-23	7
1602	224	1537	2022-05-23	9
1603	1	2809	2022-05-24	4
1604	14	3497	2022-05-24	4
1605	21	2739	2022-05-24	8
1606	34	3689	2022-05-24	9
1607	37	4180	2022-05-24	10
1608	40	2996	2022-05-24	2
1609	50	2350	2022-05-24	10
1610	70	4314	2022-05-24	6
1611	100	3783	2022-05-24	9
1612	148	1575	2022-05-24	8
1613	167	1954	2022-05-24	9
1614	174	718	2022-05-24	1
1615	191	1867	2022-05-24	7
1616	205	1631	2022-05-24	7
1617	14	2860	2022-05-25	3
1618	15	2208	2022-05-25	2
1619	121	3343	2022-05-25	6
1620	157	1809	2022-05-25	8
1621	163	587	2022-05-25	4
1622	170	1912	2022-05-25	5
1623	183	1048	2022-05-25	5
1624	190	624	2022-05-25	4
1625	192	2010	2022-05-25	5
1626	205	2021	2022-05-25	5
1627	229	752	2022-05-25	1
1628	13	2526	2022-05-26	9
1629	50	2485	2022-05-26	3
1630	51	4025	2022-05-26	5
1631	80	2718	2022-05-26	9
1632	97	3448	2022-05-26	6
1633	99	4131	2022-05-26	10
1634	128	724	2022-05-26	6
1635	192	697	2022-05-26	6
1636	197	19	2022-05-26	8
1637	197	576	2022-05-26	7
1638	225	888	2022-05-26	4
1639	3	2640	2022-05-27	7
1640	22	3982	2022-05-27	5
1641	36	4053	2022-05-27	9
1642	53	2670	2022-05-27	10
1643	101	3622	2022-05-27	9
1644	119	3426	2022-05-27	9
1645	135	626	2022-05-27	1
1646	140	695	2022-05-27	7
1647	141	528	2022-05-27	7
1648	146	775	2022-05-27	6
1649	160	255	2022-05-27	9
1650	164	980	2022-05-27	5
1651	179	1956	2022-05-27	5
1652	180	1214	2022-05-27	1
1653	200	1789	2022-05-27	2
1654	223	653	2022-05-27	1
1655	225	53	2022-05-27	1
1656	9	3213	2022-05-28	2
1657	57	2522	2022-05-28	10
1658	77	3931	2022-05-28	2
1659	114	4036	2022-05-28	3
1660	149	2054	2022-05-28	10
1661	215	502	2022-05-28	9
1662	224	674	2022-05-28	4
1663	7	2309	2022-05-29	9
1664	13	2569	2022-05-29	6
1665	74	2413	2022-05-29	4
1666	87	2264	2022-05-29	5
1667	91	4306	2022-05-29	3
1668	154	1604	2022-05-29	9
1669	160	268	2022-05-29	7
1670	160	585	2022-05-29	6
1671	172	1567	2022-05-29	6
1672	181	1953	2022-05-29	6
1673	182	2029	2022-05-29	10
1674	209	543	2022-05-29	1
1675	211	997	2022-05-29	3
1676	39	3459	2022-05-30	3
1677	45	4073	2022-05-30	6
1678	78	2622	2022-05-30	4
1679	99	2543	2022-05-30	4
1680	127	2010	2022-05-30	4
1681	142	592	2022-05-30	5
1682	142	888	2022-05-30	9
1683	156	198	2022-05-30	5
1684	184	391	2022-05-30	6
1685	189	326	2022-05-30	8
1686	205	2032	2022-05-30	2
1687	212	1799	2022-05-30	7
1688	4	2517	2022-05-31	4
1689	72	4176	2022-05-31	1
1690	88	2258	2022-05-31	5
1691	103	3954	2022-05-31	10
1692	104	3139	2022-05-31	5
1693	148	523	2022-05-31	5
1694	182	372	2022-05-31	4
1695	206	1235	2022-05-31	5
1696	9	2217	2022-06-01	9
1697	10	3669	2022-06-01	6
1698	16	2970	2022-06-01	3
1699	23	2256	2022-06-01	5
1700	82	3789	2022-06-01	2
1701	111	4017	2022-06-01	2
1702	116	3593	2022-06-01	3
1703	160	1552	2022-06-01	6
1704	175	180	2022-06-01	10
1705	186	2007	2022-06-01	4
1706	188	1125	2022-06-01	3
1707	191	1852	2022-06-01	3
1708	216	913	2022-06-01	8
1709	228	1568	2022-06-01	2
1710	27	2326	2022-06-02	1
1711	27	3314	2022-06-02	7
1712	46	4329	2022-06-02	8
1713	94	2375	2022-06-02	8
1714	97	3229	2022-06-02	1
1715	98	4107	2022-06-02	9
1716	122	2824	2022-06-02	1
1717	186	889	2022-06-02	1
1718	215	973	2022-06-02	8
1719	232	546	2022-06-02	1
1720	12	3550	2022-06-03	4
1721	13	4234	2022-06-03	9
1722	36	3385	2022-06-03	1
1723	42	3700	2022-06-03	5
1724	59	2779	2022-06-03	5
1725	74	2203	2022-06-03	9
